|CALIBRATION TEST|[Setting: 10ms]->@time-measure: 9863234. 
Chain 1 : 200ms | 12	36	12
Chain 2 : 300ms | 18	54	18

|TID:1318377216|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809828083457135-End@1726809828095657472-Cost:12200337(ns) and Published msg: 8]. 

|TID:1318377216|-->[Chain2-Sensor1.exe:180(100us)]-->[Start@1726809828103726488-End@1726809828121889942-Cost:18163454(ns) and Published msg: 5]. 

|TID:1422639040|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809828103848795-End@1726809828152040817-Cost:48192022(ns) and Route msg: 8]. 

|TID:1422639040|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809828152230764-End@1726809828164268706-Cost:12037942(ns) and Received msg: 8]. 

|TID:1318377216|-->[Chain2-Transfer2.exe:540(100us)]-->[Start@1726809828122266199-End@1726809828175262973-Cost:52996774(ns) and Route msg: 5]. 

|TID:1422639040|-->[Chain2-Command3.exe:180(100us)]-->[Start@1726809828175537755-End@1726809828193807454-Cost:18269699(ns) and Received msg: 5]. 

|TID:1422639040|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809828283525944-End@1726809828295594513-Cost:12068569(ns) and Published msg: 9]. 

|TID:1422639040|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809828296115408-End@1726809828313371768-Cost:17256360(ns) and Route msg: 9]. 

|TID:1318377216|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809828313552365-End@1726809828325699900-Cost:12147535(ns) and Received msg: 9]. 

|TID:1318377216|-->[Chain2-Sensor1.exe:180(100us)]-->[Start@1726809828403714808-End@1726809828421876649-Cost:18161841(ns) and Published msg: 6]. 

|TID:1318377216|-->[Chain2-Transfer2.exe:540(100us)]-->[Start@1726809828422472607-End@1726809828447217307-Cost:24744700(ns) and Route msg: 6]. 

|TID:1422639040|-->[Chain2-Command3.exe:180(100us)]-->[Start@1726809828447364296-End@1726809828465253305-Cost:17889009(ns) and Received msg: 6]. 

|TID:1422639040|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809828483434753-End@1726809828495571857-Cost:12137104(ns) and Published msg: 10]. 

|TID:1422639040|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809828683559159-End@1726809828695787073-Cost:12227914(ns) and Published msg: 11]. 

|TID:1318377216|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809828683683743-End@1726809828720120773-Cost:36437030(ns) and Route msg: 10]. 

|TID:1422639040|-->[Chain2-Sensor1.exe:180(100us)]-->[Start@1726809828706002121-End@1726809828724045152-Cost:18043031(ns) and Published msg: 7]. 

|TID:1422639040|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809828724180079-End@1726809828736150312-Cost:11970233(ns) and Received msg: 10]. 

|TID:1318377216|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809828720406381-End@1726809828765764694-Cost:45358313(ns) and Route msg: 11]. 

|TID:1318377216|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809828765962705-End@1726809828777954946-Cost:11992241(ns) and Received msg: 11]. 

|TID:1422639040|-->[Chain2-Transfer2.exe:540(100us)]-->[Start@1726809828736427892-End@1726809828790934323-Cost:54506431(ns) and Route msg: 7]. 

|TID:1318377216|-->[Chain2-Command3.exe:180(100us)]-->[Start@1726809828791209993-End@1726809828809264448-Cost:18054455(ns) and Received msg: 7]. 

|TID:1318377216|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809828883521899-End@1726809828895665344-Cost:12143445(ns) and Published msg: 12]. 

|TID:1318377216|-->[Chain2-Sensor1.exe:180(100us)]-->[Start@1726809829003730975-End@1726809829021961182-Cost:18230207(ns) and Published msg: 8]. 

|TID:1422639040|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809829003843033-End@1726809829048533103-Cost:44690070(ns) and Route msg: 12]. 

|TID:1422639040|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809829048801363-End@1726809829060813868-Cost:12012505(ns) and Received msg: 12]. 

|TID:1318377216|-->[Chain2-Transfer2.exe:540(100us)]-->[Start@1726809829022360965-End@1726809829079566571-Cost:57205606(ns) and Route msg: 8]. 

|TID:1318377216|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809829085579804-End@1726809829097602094-Cost:12022290(ns) and Published msg: 13]. 

|TID:1422639040|-->[Chain2-Command3.exe:180(100us)]-->[Start@1726809829079731247-End@1726809829098077608-Cost:18346361(ns) and Received msg: 8]. 

|TID:1318377216|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809829097866557-End@1726809829114829195-Cost:16962638(ns) and Route msg: 13]. 

|TID:1422639040|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809829114965594-End@1726809829127000816-Cost:12035222(ns) and Received msg: 13]. 

|TID:1422639040|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809829283525839-End@1726809829295816460-Cost:12290621(ns) and Published msg: 14]. 

|TID:1422639040|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809829296338111-End@1726809829313520960-Cost:17182849(ns) and Route msg: 14]. 

|TID:1422639040|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809829319412367-End@1726809829331329596-Cost:11917229(ns) and Received msg: 14]. 

|TID:1318377216|-->[Chain2-Sensor1.exe:180(100us)]-->[Start@1726809829313672612-End@1726809829331750411-Cost:18077799(ns) and Published msg: 9]. 

|TID:1422639040|-->[Chain2-Transfer2.exe:540(100us)]-->[Start@1726809829331834235-End@1726809829358280930-Cost:26446695(ns) and Route msg: 9]. 

|TID:1318377216|-->[Chain2-Command3.exe:180(100us)]-->[Start@1726809829358415101-End@1726809829376445888-Cost:18030787(ns) and Received msg: 9]. 

|TID:1318377216|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809829483517590-End@1726809829495797384-Cost:12279794(ns) and Published msg: 15]. 

|TID:1318377216|-->[Chain2-Sensor1.exe:180(100us)]-->[Start@1726809829603689715-End@1726809829621695573-Cost:18005858(ns) and Published msg: 10]. 

|TID:1422639040|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809829603825976-End@1726809829647485338-Cost:43659362(ns) and Route msg: 15]. 

|TID:1422639040|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809829647773406-End@1726809829659895918-Cost:12122512(ns) and Received msg: 15]. 

|TID:1318377216|-->[Chain2-Transfer2.exe:540(100us)]-->[Start@1726809829622096733-End@1726809829679431200-Cost:57334467(ns) and Route msg: 10]. 

|TID:1318377216|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809829685444245-End@1726809829697499854-Cost:12055609(ns) and Published msg: 16]. 

|TID:1422639040|-->[Chain2-Command3.exe:180(100us)]-->[Start@1726809829679605878-End@1726809829697975894-Cost:18370016(ns) and Received msg: 10]. 

|TID:1318377216|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809829697767035-End@1726809829715346688-Cost:17579653(ns) and Route msg: 16]. 

|TID:1422639040|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809829715496380-End@1726809829727526603-Cost:12030223(ns) and Received msg: 16]. 

|TID:1422639040|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809829883436486-End@1726809829895671856-Cost:12235370(ns) and Published msg: 17]. 

|TID:1422639040|-->[Chain2-Sensor1.exe:180(100us)]-->[Start@1726809829903693268-End@1726809829921835406-Cost:18142138(ns) and Published msg: 11]. 

|TID:1318377216|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809829903821052-End@1726809829953855936-Cost:50034884(ns) and Route msg: 17]. 

|TID:1318377216|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809829954042898-End@1726809829966091800-Cost:12048902(ns) and Received msg: 17]. 

|TID:1422639040|-->[Chain2-Transfer2.exe:540(100us)]-->[Start@1726809829922192092-End@1726809829975951925-Cost:53759833(ns) and Route msg: 11]. 

|TID:1318377216|-->[Chain2-Command3.exe:180(100us)]-->[Start@1726809829976220496-End@1726809829994412255-Cost:18191759(ns) and Received msg: 11]. 

|TID:1318377216|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809830083503988-End@1726809830095467493-Cost:11963505(ns) and Published msg: 18]. 

|TID:1318377216|-->[Chain2-Sensor1.exe:180(100us)]-->[Start@1726809830203739740-End@1726809830221780467-Cost:18040727(ns) and Published msg: 12]. 

|TID:1422639040|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809830203845346-End@1726809830251561176-Cost:47715830(ns) and Route msg: 18]. 

|TID:1422639040|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809830251772451-End@1726809830263800979-Cost:12028528(ns) and Received msg: 18]. 

|TID:1318377216|-->[Chain2-Transfer2.exe:540(100us)]-->[Start@1726809830222289795-End@1726809830271767411-Cost:49477616(ns) and Route msg: 12]. 

|TID:1422639040|-->[Chain2-Command3.exe:180(100us)]-->[Start@1726809830272041390-End@1726809830290127034-Cost:18085644(ns) and Received msg: 12]. 

|TID:1318377216|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809830283485610-End@1726809830295662428-Cost:12176818(ns) and Published msg: 19]. 

|TID:1318377216|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809830483586554-End@1726809830495632164-Cost:12045610(ns) and Published msg: 20]. 

|TID:1422639040|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809830483697810-End@1726809830519703740-Cost:36005930(ns) and Route msg: 19]. 

|TID:1318377216|-->[Chain2-Sensor1.exe:180(100us)]-->[Start@1726809830506286275-End@1726809830524629381-Cost:18343106(ns) and Published msg: 13]. 

|TID:1318377216|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809830524796933-End@1726809830537006076-Cost:12209143(ns) and Received msg: 19]. 

|TID:1422639040|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809830520070146-End@1726809830569063023-Cost:48992877(ns) and Route msg: 20]. 

|TID:1422639040|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809830569283873-End@1726809830581508098-Cost:12224225(ns) and Received msg: 20]. 

|TID:1318377216|-->[Chain2-Transfer2.exe:540(100us)]-->[Start@1726809830537354214-End@1726809830590670061-Cost:53315847(ns) and Route msg: 13]. 

|TID:1422639040|-->[Chain2-Command3.exe:180(100us)]-->[Start@1726809830590976313-End@1726809830609218364-Cost:18242051(ns) and Received msg: 13]. 

|TID:1422639040|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809830683461333-End@1726809830695708184-Cost:12246851(ns) and Published msg: 21]. 

|TID:1422639040|-->[Chain2-Sensor1.exe:180(100us)]-->[Start@1726809830803640140-End@1726809830821998082-Cost:18357942(ns) and Published msg: 14]. 

|TID:1318377216|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809830803733798-End@1726809830854685725-Cost:50951927(ns) and Route msg: 21]. 

|TID:1318377216|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809830854902110-End@1726809830867142207-Cost:12240097(ns) and Received msg: 21]. 

|TID:1422639040|-->[Chain2-Transfer2.exe:540(100us)]-->[Start@1726809830822451998-End@1726809830874523694-Cost:52071696(ns) and Route msg: 14]. 

|TID:1318377216|-->[Chain2-Command3.exe:180(100us)]-->[Start@1726809830874696180-End@1726809830893058862-Cost:18362682(ns) and Received msg: 14]. 

|TID:1422639040|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809830883482121-End@1726809830895481008-Cost:11998887(ns) and Published msg: 22]. 

|TID:1422639040|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809831083514567-End@1726809831095738878-Cost:12224311(ns) and Published msg: 23]. 

