Linux 5.15.0-121-generic (NEU) 	09/16/2024 	_x86_64_	(16 CPU)

08:47:49 PM   UID       PID   cswch/s nvcswch/s  Command
08:47:50 PM  1000      4483      6.00    433.00  two_node_pipeli
08:47:51 PM  1000      4483      6.00    502.00  two_node_pipeli
08:47:52 PM  1000      4483      1.00    623.00  two_node_pipeli
08:47:53 PM  1000      4483      1.00    364.00  two_node_pipeli
08:47:54 PM  1000      4483      5.00    275.00  two_node_pipeli
08:47:55 PM  1000      4483      2.00    383.00  two_node_pipeli
08:47:56 PM  1000      4483      1.00    383.00  two_node_pipeli
08:47:57 PM  1000      4483      1.00    304.00  two_node_pipeli
08:47:58 PM  1000      4483      0.00    266.00  two_node_pipeli
08:47:59 PM  1000      4483      0.00    695.00  two_node_pipeli
08:48:00 PM  1000      4483      4.00    156.00  two_node_pipeli
08:48:01 PM  1000      4483     10.00     68.00  two_node_pipeli
08:48:02 PM  1000      4483      5.00    206.00  two_node_pipeli
08:48:03 PM  1000      4483      3.00    159.00  two_node_pipeli
08:48:04 PM  1000      4483      5.00    341.00  two_node_pipeli
08:48:05 PM  1000      4483      8.00    307.00  two_node_pipeli
08:48:06 PM  1000      4483      8.00    172.00  two_node_pipeli
08:48:07 PM  1000      4483      6.00    136.00  two_node_pipeli
08:48:08 PM  1000      4483      5.00    121.00  two_node_pipeli
08:48:09 PM  1000      4483      7.00    254.00  two_node_pipeli
08:48:10 PM  1000      4483      8.00    227.00  two_node_pipeli
08:48:11 PM  1000      4483      8.00    309.00  two_node_pipeli
08:48:12 PM  1000      4483     12.00    384.00  two_node_pipeli
08:48:13 PM  1000      4483      2.00    264.00  two_node_pipeli
08:48:14 PM  1000      4483      8.00     91.00  two_node_pipeli
08:48:15 PM  1000      4483      6.00    111.00  two_node_pipeli
08:48:16 PM  1000      4483      8.00    100.00  two_node_pipeli
08:48:17 PM  1000      4483      5.00    179.00  two_node_pipeli
08:48:18 PM  1000      4483     11.00    169.00  two_node_pipeli
08:48:19 PM  1000      4483      5.00     69.00  two_node_pipeli
08:48:20 PM  1000      4483      3.00     70.00  two_node_pipeli
08:48:21 PM  1000      4483      4.00     59.00  two_node_pipeli
08:48:22 PM  1000      4483     10.00     53.00  two_node_pipeli
08:48:23 PM  1000      4483     11.00     50.00  two_node_pipeli
08:48:24 PM  1000      4483      5.00    203.00  two_node_pipeli
08:48:25 PM  1000      4483      6.00     44.00  two_node_pipeli
08:48:26 PM  1000      4483      6.00     37.00  two_node_pipeli
08:48:27 PM  1000      4483      6.00     98.00  two_node_pipeli
08:48:28 PM  1000      4483     12.00     47.00  two_node_pipeli
08:48:29 PM  1000      4483     14.00     82.00  two_node_pipeli
08:48:30 PM  1000      4483     20.00     47.00  two_node_pipeli
08:48:31 PM  1000      4483     14.00    107.00  two_node_pipeli
08:48:32 PM  1000      4483     19.00     53.00  two_node_pipeli
08:48:33 PM  1000      4483      6.00     59.00  two_node_pipeli
08:48:34 PM  1000      4483     11.00     84.00  two_node_pipeli
08:48:35 PM  1000      4483     10.00     37.00  two_node_pipeli
08:48:36 PM  1000      4483     12.00     37.00  two_node_pipeli
08:48:37 PM  1000      4483     12.00     56.00  two_node_pipeli
08:48:38 PM  1000      4483      9.00    166.00  two_node_pipeli
08:48:39 PM  1000      4483     20.00     53.00  two_node_pipeli
08:48:40 PM  1000      4483     12.00     24.00  two_node_pipeli
08:48:41 PM  1000      4483      9.00    122.00  two_node_pipeli
08:48:42 PM  1000      4483     10.89     11.88  two_node_pipeli
08:48:43 PM  1000      4483      9.00     29.00  two_node_pipeli
08:48:44 PM  1000      4483     10.00     44.00  two_node_pipeli
08:48:45 PM  1000      4483     14.00     66.00  two_node_pipeli
08:48:46 PM  1000      4483      6.00    183.00  two_node_pipeli
08:48:47 PM  1000      4483     15.00     81.00  two_node_pipeli
08:48:48 PM  1000      4483     10.00     15.00  two_node_pipeli
08:48:49 PM  1000      4483      8.00     56.00  two_node_pipeli
08:48:50 PM  1000      4483      8.00     43.00  two_node_pipeli
08:48:51 PM  1000      4483     14.00     74.00  two_node_pipeli
08:48:52 PM  1000      4483     11.00     86.00  two_node_pipeli
08:48:53 PM  1000      4483     11.00     89.00  two_node_pipeli
08:48:54 PM  1000      4483     13.00     27.00  two_node_pipeli
08:48:55 PM  1000      4483      9.00     63.00  two_node_pipeli
08:48:56 PM  1000      4483     16.00     61.00  two_node_pipeli
08:48:57 PM  1000      4483     20.00     69.00  two_node_pipeli
08:48:58 PM  1000      4483     12.00     79.00  two_node_pipeli
08:48:59 PM  1000      4483     12.00    111.00  two_node_pipeli
08:49:00 PM  1000      4483      8.00     96.00  two_node_pipeli
08:49:01 PM  1000      4483     19.00    216.00  two_node_pipeli
08:49:02 PM  1000      4483      9.00    119.00  two_node_pipeli
08:49:03 PM  1000      4483      7.00     70.00  two_node_pipeli
08:49:04 PM  1000      4483     13.00     67.00  two_node_pipeli
08:49:05 PM  1000      4483      7.00     88.00  two_node_pipeli
08:49:06 PM  1000      4483     14.00     82.00  two_node_pipeli
