Linux 5.10.216-tegra (neu-desktop) 	01/01/1970 	_aarch64_	(12 CPU)

10:37:47 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:38:55 AM  1000      7672    6.00    6.00    0.00    1.00   12.00     5  two_node_pipeli
10:38:56 AM  1000      7672    9.00    3.00    0.00    1.00   12.00     4  two_node_pipeli
10:38:57 AM  1000      7672    7.00    6.00    0.00    1.00   13.00     8  two_node_pipeli
10:38:58 AM  1000      7672    7.00    3.00    0.00    1.00   10.00     4  two_node_pipeli
10:38:59 AM  1000      7672    8.00    3.00    0.00    1.00   11.00     8  two_node_pipeli
10:39:00 AM  1000      7672    9.00    3.00    0.00    1.00   12.00     9  two_node_pipeli
10:39:01 AM  1000      7672    6.00    5.00    0.00    1.00   11.00     4  two_node_pipeli
10:39:02 AM  1000      7672    8.00    3.00    0.00    0.00   11.00     7  two_node_pipeli
10:39:03 AM  1000      7672    5.00    6.00    0.00    1.00   11.00     6  two_node_pipeli
10:39:04 AM  1000      7672    6.00    7.00    0.00    1.00   13.00     6  two_node_pipeli
10:39:05 AM  1000      7672    6.00    6.00    0.00    1.00   12.00     6  two_node_pipeli
10:39:06 AM  1000      7672    7.00    2.00    0.00    1.00    9.00     5  two_node_pipeli
10:39:07 AM  1000      7672    4.00    8.00    0.00    0.00   12.00     5  two_node_pipeli
10:39:08 AM  1000      7672    4.00    8.00    0.00    1.00   12.00     9  two_node_pipeli
10:39:09 AM  1000      7672    6.00    6.00    0.00    1.00   12.00     4  two_node_pipeli
10:39:10 AM  1000      7672    7.00    4.00    0.00    1.00   11.00     9  two_node_pipeli
10:39:11 AM  1000      7672    5.00    7.00    0.00    1.00   12.00     8  two_node_pipeli
10:39:12 AM  1000      7672    8.00    3.00    0.00    1.00   11.00     6  two_node_pipeli
10:39:13 AM  1000      7672    7.00    5.00    0.00    0.00   12.00     7  two_node_pipeli
10:39:14 AM  1000      7672    2.00    8.00    0.00    1.00   10.00     4  two_node_pipeli
10:39:15 AM  1000      7672    5.00    7.00    0.00    1.00   12.00     4  two_node_pipeli
10:39:16 AM  1000      7672    6.00    7.00    0.00    1.00   13.00     6  two_node_pipeli
10:39:17 AM  1000      7672    8.00    5.00    0.00    1.00   13.00     8  two_node_pipeli
10:39:18 AM  1000      7672    7.00    5.00    0.00    0.00   12.00     7  two_node_pipeli
10:39:19 AM  1000      7672    2.00    9.00    0.00    1.00   11.00     7  two_node_pipeli
10:39:20 AM  1000      7672    6.00    6.00    0.00    1.00   12.00     7  two_node_pipeli
10:39:21 AM  1000      7672    7.00    5.00    0.00    1.00   12.00     8  two_node_pipeli
10:39:22 AM  1000      7672    9.00    1.00    0.00    0.00   10.00     4  two_node_pipeli
10:39:23 AM  1000      7672    1.00   11.00    0.00    1.00   12.00     5  two_node_pipeli
10:39:24 AM  1000      7672    7.00    8.00    0.00    1.00   15.00     7  two_node_pipeli
10:39:25 AM  1000      7672   10.00    4.00    0.00    1.00   14.00     4  two_node_pipeli
10:39:26 AM  1000      7672    6.00    5.00    0.00    1.00   11.00     4  two_node_pipeli
10:39:27 AM  1000      7672    9.00    6.00    0.00    1.00   15.00     4  two_node_pipeli
10:39:28 AM  1000      7672    6.00    6.00    0.00    1.00   12.00     4  two_node_pipeli
10:39:29 AM  1000      7672    8.00    5.00    0.00    1.00   13.00     4  two_node_pipeli
10:39:30 AM  1000      7672    5.00    6.00    0.00    1.00   11.00     5  two_node_pipeli
10:39:31 AM  1000      7672   10.00    5.00    0.00    0.00   15.00     9  two_node_pipeli
10:39:32 AM  1000      7672    9.90    5.94    0.00    1.98   15.84     5  two_node_pipeli
10:39:33 AM  1000      7672    8.00    8.00    0.00    1.00   16.00     5  two_node_pipeli
10:39:34 AM  1000      7672    8.00    4.00    0.00    1.00   12.00     6  two_node_pipeli
10:39:35 AM  1000      7672    9.00    4.00    0.00    1.00   13.00     6  two_node_pipeli
10:39:36 AM  1000      7672    8.00    6.00    0.00    1.00   14.00     6  two_node_pipeli
10:39:37 AM  1000      7672   10.00    4.00    0.00    2.00   14.00     4  two_node_pipeli
