Linux 5.15.0-121-generic (NEU) 	09/16/2024 	_x86_64_	(16 CPU)

04:25:57 PM   UID       PID   cswch/s nvcswch/s  Command
04:25:58 PM  1000     10192     11.00     31.00  two_node_pipeli
04:25:59 PM  1000     10192     24.00     67.00  two_node_pipeli
04:26:00 PM  1000     10192     27.00     81.00  two_node_pipeli
04:26:01 PM  1000     10192     31.00     82.00  two_node_pipeli
04:26:02 PM  1000     10192     22.00    123.00  two_node_pipeli
04:26:03 PM  1000     10192     31.00     79.00  two_node_pipeli
04:26:04 PM  1000     10192     25.00     86.00  two_node_pipeli
04:26:05 PM  1000     10192     33.00     66.00  two_node_pipeli
04:26:06 PM  1000     10192     25.00     57.00  two_node_pipeli
04:26:07 PM  1000     10192     28.00     40.00  two_node_pipeli
04:26:08 PM  1000     10192     26.00     54.00  two_node_pipeli
04:26:09 PM  1000     10192     30.00     51.00  two_node_pipeli
04:26:10 PM  1000     10192     30.00     64.00  two_node_pipeli
04:26:11 PM  1000     10192     23.00    105.00  two_node_pipeli
04:26:12 PM  1000     10192     26.00     74.00  two_node_pipeli
04:26:13 PM  1000     10192     29.00     49.00  two_node_pipeli
04:26:14 PM  1000     10192     31.00     64.00  two_node_pipeli
04:26:15 PM  1000     10192     25.00     49.00  two_node_pipeli
04:26:16 PM  1000     10192     13.00     27.00  two_node_pipeli
04:26:17 PM  1000     10192     28.00     65.00  two_node_pipeli
04:26:18 PM  1000     10192     29.00     77.00  two_node_pipeli
04:26:19 PM  1000     10192     25.00     54.00  two_node_pipeli
04:26:20 PM  1000     10192     32.00     68.00  two_node_pipeli
04:26:21 PM  1000     10192     25.00     66.00  two_node_pipeli
04:26:22 PM  1000     10192     23.00     30.00  two_node_pipeli
04:26:23 PM  1000     10192     26.00     53.00  two_node_pipeli
04:26:24 PM  1000     10192     26.00     37.00  two_node_pipeli
04:26:25 PM  1000     10192     28.00     60.00  two_node_pipeli
04:26:26 PM  1000     10192     30.00     46.00  two_node_pipeli
04:26:27 PM  1000     10192     32.00     69.00  two_node_pipeli
04:26:28 PM  1000     10192     23.00     30.00  two_node_pipeli
04:26:29 PM  1000     10192     29.00     42.00  two_node_pipeli
04:26:30 PM  1000     10192     26.00     77.00  two_node_pipeli
04:26:31 PM  1000     10192     29.00     58.00  two_node_pipeli
04:26:32 PM  1000     10192     25.00     56.00  two_node_pipeli
04:26:33 PM  1000     10192     30.00     62.00  two_node_pipeli
04:26:34 PM  1000     10192     30.00     47.00  two_node_pipeli
04:26:35 PM  1000     10192     33.00     61.00  two_node_pipeli
04:26:36 PM  1000     10192     26.00     55.00  two_node_pipeli
04:26:37 PM  1000     10192     34.00     58.00  two_node_pipeli
04:26:38 PM  1000     10192     32.00     87.00  two_node_pipeli
04:26:39 PM  1000     10192     34.00     59.00  two_node_pipeli
04:26:40 PM  1000     10192     21.00     48.00  two_node_pipeli
04:26:41 PM  1000     10192     31.00     60.00  two_node_pipeli
04:26:42 PM  1000     10192     22.00     32.00  two_node_pipeli
04:26:43 PM  1000     10192     27.00     87.00  two_node_pipeli
04:26:44 PM  1000     10192     26.00     89.00  two_node_pipeli
04:26:45 PM  1000     10192     33.00     56.00  two_node_pipeli
04:26:46 PM  1000     10192     24.00     41.00  two_node_pipeli
04:26:47 PM  1000     10192     30.69     65.35  two_node_pipeli
04:26:48 PM  1000     10192     25.00     36.00  two_node_pipeli
04:26:49 PM  1000     10192     24.00     37.00  two_node_pipeli
04:26:50 PM  1000     10192     27.00     49.00  two_node_pipeli
04:26:51 PM  1000     10192     24.00     69.00  two_node_pipeli
04:26:52 PM  1000     10192     24.00     62.00  two_node_pipeli
04:26:53 PM  1000     10192     30.00     84.00  two_node_pipeli
04:26:54 PM  1000     10192     30.00     51.00  two_node_pipeli
04:26:55 PM  1000     10192     27.00     73.00  two_node_pipeli
04:26:56 PM  1000     10192     32.00     53.00  two_node_pipeli
04:26:57 PM  1000     10192     26.00     39.00  two_node_pipeli
04:26:58 PM  1000     10192     26.00     92.00  two_node_pipeli
04:26:59 PM  1000     10192     34.00     85.00  two_node_pipeli
04:27:00 PM  1000     10192     31.00     58.00  two_node_pipeli
04:27:01 PM  1000     10192     26.00     53.00  two_node_pipeli
04:27:02 PM  1000     10192     39.00    102.00  two_node_pipeli
04:27:03 PM  1000     10192     29.00     84.00  two_node_pipeli
04:27:04 PM  1000     10192     28.00     50.00  two_node_pipeli
04:27:05 PM  1000     10192     25.00     71.00  two_node_pipeli
04:27:06 PM  1000     10192     35.00     70.00  two_node_pipeli
04:27:07 PM  1000     10192     29.00    111.00  two_node_pipeli
04:27:08 PM  1000     10192     33.00     63.00  two_node_pipeli
04:27:09 PM  1000     10192     26.00     51.00  two_node_pipeli
04:27:10 PM  1000     10192     31.00     40.00  two_node_pipeli
04:27:11 PM  1000     10192     26.00     84.00  two_node_pipeli
04:27:12 PM  1000     10192     22.00     39.00  two_node_pipeli
04:27:13 PM  1000     10192     28.00     68.00  two_node_pipeli
04:27:14 PM  1000     10192     30.00     70.00  two_node_pipeli
04:27:15 PM  1000     10192     29.00     82.00  two_node_pipeli
04:27:16 PM  1000     10192     26.00     57.00  two_node_pipeli
04:27:17 PM  1000     10192     27.00     87.00  two_node_pipeli
04:27:18 PM  1000     10192     25.00     85.00  two_node_pipeli
04:27:19 PM  1000     10192     31.00     43.00  two_node_pipeli
04:27:20 PM  1000     10192     31.00     57.00  two_node_pipeli
04:27:21 PM  1000     10192     26.00     71.00  two_node_pipeli
04:27:22 PM  1000     10192     26.00     48.00  two_node_pipeli
04:27:23 PM  1000     10192     33.00     58.00  two_node_pipeli
04:27:24 PM  1000     10192     22.00     74.00  two_node_pipeli
04:27:25 PM  1000     10192     24.00     39.00  two_node_pipeli
04:27:26 PM  1000     10192     20.00     49.00  two_node_pipeli
04:27:27 PM  1000     10192     28.00     59.00  two_node_pipeli
04:27:28 PM  1000     10192     23.00     66.00  two_node_pipeli
04:27:29 PM  1000     10192     33.00     44.00  two_node_pipeli
04:27:30 PM  1000     10192     18.00    133.00  two_node_pipeli
04:27:31 PM  1000     10192     32.00     51.00  two_node_pipeli
04:27:32 PM  1000     10192     19.00     53.00  two_node_pipeli
04:27:33 PM  1000     10192     27.00     48.00  two_node_pipeli
04:27:34 PM  1000     10192     34.00     78.00  two_node_pipeli
04:27:35 PM  1000     10192     28.00     41.00  two_node_pipeli
04:27:36 PM  1000     10192     29.00     52.00  two_node_pipeli
04:27:37 PM  1000     10192     23.00     40.00  two_node_pipeli
04:27:38 PM  1000     10192     22.00     58.00  two_node_pipeli
04:27:39 PM  1000     10192     30.00     56.00  two_node_pipeli
04:27:40 PM  1000     10192     28.00     51.00  two_node_pipeli
04:27:41 PM  1000     10192     31.00     91.00  two_node_pipeli
04:27:42 PM  1000     10192     25.00     49.00  two_node_pipeli
04:27:43 PM  1000     10192     30.00     42.00  two_node_pipeli
04:27:44 PM  1000     10192     35.00     72.00  two_node_pipeli
04:27:45 PM  1000     10192     21.00     47.00  two_node_pipeli
04:27:46 PM  1000     10192     23.00     52.00  two_node_pipeli
04:27:47 PM  1000     10192     34.00    109.00  two_node_pipeli
04:27:48 PM  1000     10192     27.00     48.00  two_node_pipeli
04:27:49 PM  1000     10192     22.00     61.00  two_node_pipeli
04:27:50 PM  1000     10192     27.00     44.00  two_node_pipeli
04:27:51 PM  1000     10192     25.00     60.00  two_node_pipeli
04:27:52 PM  1000     10192     30.00     45.00  two_node_pipeli
04:27:53 PM  1000     10192     24.00     54.00  two_node_pipeli
04:27:54 PM  1000     10192     27.00     58.00  two_node_pipeli
04:27:55 PM  1000     10192     28.00     58.00  two_node_pipeli
04:27:56 PM  1000     10192     34.00     64.00  two_node_pipeli
04:27:57 PM  1000     10192     29.00     91.00  two_node_pipeli
04:27:58 PM  1000     10192     24.00     59.00  two_node_pipeli
04:27:59 PM  1000     10192     27.00     84.00  two_node_pipeli
04:28:00 PM  1000     10192     29.00    112.00  two_node_pipeli
04:28:01 PM  1000     10192     31.00     87.00  two_node_pipeli
04:28:02 PM  1000     10192     25.00     59.00  two_node_pipeli
04:28:03 PM  1000     10192     30.00     53.00  two_node_pipeli
04:28:04 PM  1000     10192     27.00     79.00  two_node_pipeli
04:28:05 PM  1000     10192     35.00     85.00  two_node_pipeli
04:28:06 PM  1000     10192     25.00     79.00  two_node_pipeli
04:28:07 PM  1000     10192     25.00     51.00  two_node_pipeli
04:28:08 PM  1000     10192     27.00     48.00  two_node_pipeli
