Linux 5.15.0-121-generic (NEU) 	09/16/2024 	_x86_64_	(16 CPU)

01:23:36 PM   UID       PID   cswch/s nvcswch/s  Command
01:23:37 PM  1000     17370      5.00     90.00  two_node_pipeli
01:23:38 PM  1000     17370      0.00    104.00  two_node_pipeli
01:23:39 PM  1000     17370      1.00    138.00  two_node_pipeli
01:23:40 PM  1000     17370      7.00     89.00  two_node_pipeli
01:23:41 PM  1000     17370      5.00     88.00  two_node_pipeli
01:23:42 PM  1000     17370      4.00     84.00  two_node_pipeli
01:23:43 PM  1000     17370      1.98     81.19  two_node_pipeli
01:23:44 PM  1000     17370      4.00     98.00  two_node_pipeli
01:23:45 PM  1000     17370      3.96     90.10  two_node_pipeli
01:23:46 PM  1000     17370      4.00    140.00  two_node_pipeli
01:23:47 PM  1000     17370      1.00    193.00  two_node_pipeli
01:23:48 PM  1000     17370      0.00    236.00  two_node_pipeli
01:23:49 PM  1000     17370      5.00    229.00  two_node_pipeli
01:23:50 PM  1000     17370      2.00    234.00  two_node_pipeli
01:23:51 PM  1000     17370      1.00    180.00  two_node_pipeli
01:23:52 PM  1000     17370     18.00    380.00  two_node_pipeli
01:23:53 PM  1000     17370     24.00    232.00  two_node_pipeli
01:23:54 PM  1000     17370     11.00    194.00  two_node_pipeli
01:23:55 PM  1000     17370      0.00    173.00  two_node_pipeli
01:23:56 PM  1000     17370      5.00    168.00  two_node_pipeli
01:23:57 PM  1000     17370      3.00    143.00  two_node_pipeli
01:23:58 PM  1000     17370      7.00    189.00  two_node_pipeli
01:23:59 PM  1000     17370      1.00    175.00  two_node_pipeli
01:24:00 PM  1000     17370     17.00    116.00  two_node_pipeli
01:24:01 PM  1000     17370     13.00     65.00  two_node_pipeli
01:24:02 PM  1000     17370     23.00    179.00  two_node_pipeli
01:24:03 PM  1000     17370     12.00   1080.00  two_node_pipeli
01:24:04 PM  1000     17370     11.00    548.00  two_node_pipeli
01:24:05 PM  1000     17370     36.00    459.00  two_node_pipeli
01:24:06 PM  1000     17370     50.00    427.00  two_node_pipeli
01:24:07 PM  1000     17370     18.00    535.00  two_node_pipeli
01:24:08 PM  1000     17370     55.00    370.00  two_node_pipeli
01:24:09 PM  1000     17370     50.00    489.00  two_node_pipeli
01:24:10 PM  1000     17370     40.00    443.00  two_node_pipeli
01:24:11 PM  1000     17370     21.78    580.20  two_node_pipeli
01:24:12 PM  1000     17370     33.00    497.00  two_node_pipeli
01:24:13 PM  1000     17370     16.00    399.00  two_node_pipeli
01:24:14 PM  1000     17370     43.00    439.00  two_node_pipeli
01:24:15 PM  1000     17370     10.00    628.00  two_node_pipeli
01:24:16 PM  1000     17370     28.00    565.00  two_node_pipeli
01:24:17 PM  1000     17370     39.00    613.00  two_node_pipeli
01:24:18 PM  1000     17370     51.00    587.00  two_node_pipeli
01:24:19 PM  1000     17370     48.00    555.00  two_node_pipeli
01:24:20 PM  1000     17370     22.00    623.00  two_node_pipeli
01:24:21 PM  1000     17370     24.00    602.00  two_node_pipeli
01:24:22 PM  1000     17370     41.00    522.00  two_node_pipeli
01:24:23 PM  1000     17370     32.00    622.00  two_node_pipeli
01:24:24 PM  1000     17370     55.00    478.00  two_node_pipeli
01:24:25 PM  1000     17370     16.00    614.00  two_node_pipeli
01:24:26 PM  1000     17370     72.00    538.00  two_node_pipeli
01:24:27 PM  1000     17370     17.00    566.00  two_node_pipeli
01:24:28 PM  1000     17370     28.71    581.19  two_node_pipeli
01:24:29 PM  1000     17370     13.00    696.00  two_node_pipeli
01:24:30 PM  1000     17370     26.00    679.00  two_node_pipeli
01:24:31 PM  1000     17370     13.00    606.00  two_node_pipeli
01:24:32 PM  1000     17370     64.00    615.00  two_node_pipeli
01:24:33 PM  1000     17370     15.00    498.00  two_node_pipeli
01:24:34 PM  1000     17370     39.00    637.00  two_node_pipeli
01:24:35 PM  1000     17370     85.00    524.00  two_node_pipeli
01:24:36 PM  1000     17370     20.00    658.00  two_node_pipeli
01:24:37 PM  1000     17370     28.00    593.00  two_node_pipeli
01:24:38 PM  1000     17370     16.00    702.00  two_node_pipeli
01:24:39 PM  1000     17370     23.00    634.00  two_node_pipeli
01:24:40 PM  1000     17370      8.00    700.00  two_node_pipeli
01:24:41 PM  1000     17370     10.00    594.00  two_node_pipeli
