Linux 5.10.216-tegra (neu-desktop) 	11/04/2024 	_aarch64_	(12 CPU)
08:42:24 PM  1000     80537     65.00      0.00  two_node_pipeli
08:42:24 PM  1000     80543     62.00      0.00  two_node_pipeli
08:42:24 PM  1000     80535     69.00      0.00  two_node_pipeli
08:42:24 PM  1000     80546     61.00      0.00  two_node_pipeli

08:42:24 PM   UID       PID   cswch/s nvcswch/s  Command
08:42:25 PM  1000     80545     61.00      0.00  two_node_pipeli
08:42:25 PM  1000     80541     63.00      0.00  two_node_pipeli
08:42:25 PM  1000     80540     61.00      0.00  two_node_pipeli
08:42:25 PM  1000     80534     80.00      0.00  two_node_pipeli
08:42:25 PM  1000     80523     78.00      0.00  two_node_pipeli
08:42:25 PM  1000     80533     78.00      0.00  two_node_pipeli
08:42:25 PM  1000     80539     57.00      0.00  two_node_pipeli
08:42:25 PM  1000     80544     60.00      0.00  two_node_pipeli
08:42:25 PM  1000     80538     64.00      0.00  two_node_pipeli
08:42:25 PM  1000     80547     62.00      0.00  two_node_pipeli
08:42:25 PM  1000     80542     60.00      0.00  two_node_pipeli
08:42:25 PM  1000     80536     79.00      0.00  two_node_pipeli
08:42:25 PM  1000     80537     62.00      0.00  two_node_pipeli
08:42:25 PM  1000     80543     60.00      0.00  two_node_pipeli
08:42:25 PM  1000     80535     61.00      0.00  two_node_pipeli
08:42:25 PM  1000     80546     62.00      0.00  two_node_pipeli

08:42:25 PM   UID       PID   cswch/s nvcswch/s  Command
08:42:26 PM  1000     80545     49.00      0.00  two_node_pipeli
08:42:26 PM  1000     80541     61.00      0.00  two_node_pipeli
08:42:26 PM  1000     80540     64.00      0.00  two_node_pipeli
08:42:26 PM  1000     80534     76.00      0.00  two_node_pipeli
08:42:26 PM  1000     80523     81.00      0.00  two_node_pipeli
08:42:26 PM  1000     80533     75.00      0.00  two_node_pipeli
08:42:26 PM  1000     80539     57.00      0.00  two_node_pipeli
08:42:26 PM  1000     80544     65.00      0.00  two_node_pipeli
08:42:26 PM  1000     80538     67.00      1.00  two_node_pipeli
08:42:26 PM  1000     80547     57.00      0.00  two_node_pipeli
08:42:26 PM  1000     80542     67.00      0.00  two_node_pipeli
08:42:26 PM  1000     80536     78.00      0.00  two_node_pipeli
08:42:26 PM  1000     80537     60.00      0.00  two_node_pipeli
08:42:26 PM  1000     80543     61.00      0.00  two_node_pipeli
08:42:26 PM  1000     80535     59.00      0.00  two_node_pipeli
08:42:26 PM  1000     80546     62.00      0.00  two_node_pipeli

08:42:26 PM   UID       PID   cswch/s nvcswch/s  Command
08:42:27 PM  1000     80545     61.00      0.00  two_node_pipeli
08:42:27 PM  1000     80541     61.00      0.00  two_node_pipeli
08:42:27 PM  1000     80540     57.00      0.00  two_node_pipeli
08:42:27 PM  1000     80534     85.00      0.00  two_node_pipeli
08:42:27 PM  1000     80523     81.00      0.00  two_node_pipeli
08:42:27 PM  1000     80533     85.00      0.00  two_node_pipeli
08:42:27 PM  1000     80539     61.00      0.00  two_node_pipeli
08:42:27 PM  1000     80544     59.00      0.00  two_node_pipeli
08:42:27 PM  1000     80538     60.00      0.00  two_node_pipeli
08:42:27 PM  1000     80547     56.00      0.00  two_node_pipeli
08:42:27 PM  1000     80542     63.00      0.00  two_node_pipeli
08:42:27 PM  1000     80536     75.00      0.00  two_node_pipeli
08:42:27 PM  1000     80537     61.00      0.00  two_node_pipeli
08:42:27 PM  1000     80543     61.00      0.00  two_node_pipeli
08:42:27 PM  1000     80535     62.00      0.00  two_node_pipeli
08:42:27 PM  1000     80546     61.00      0.00  two_node_pipeli

08:42:27 PM   UID       PID   cswch/s nvcswch/s  Command
08:42:28 PM  1000     80545     63.00      0.00  two_node_pipeli
08:42:28 PM  1000     80541     56.00      0.00  two_node_pipeli
08:42:28 PM  1000     80540     66.00      0.00  two_node_pipeli
08:42:28 PM  1000     80534     72.00      0.00  two_node_pipeli
08:42:28 PM  1000     80523     79.00      0.00  two_node_pipeli
08:42:28 PM  1000     80533     86.00      0.00  two_node_pipeli
08:42:28 PM  1000     80539     62.00      0.00  two_node_pipeli
08:42:28 PM  1000     80544     63.00      0.00  two_node_pipeli
08:42:28 PM  1000     80538     60.00      0.00  two_node_pipeli
