Linux 5.10.216-tegra (neu-desktop) 	11/06/2024 	_aarch64_	(12 CPU)

10:16:04 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:16:05 AM  1000     25510  135.00    1.00    0.00    0.00  136.00     6  two_node_pipeli
10:16:06 AM  1000     25510  134.00    0.00    0.00    0.00  134.00     6  two_node_pipeli
10:16:07 AM  1000     25510  135.00    0.00    0.00    0.00  135.00     6  two_node_pipeli
10:16:08 AM  1000     25510  134.00    0.00    0.00    0.00  134.00     6  two_node_pipeli
10:16:09 AM  1000     25510  134.00    0.00    0.00    0.00  134.00     6  two_node_pipeli
10:16:10 AM  1000     25510  136.00    0.00    0.00    0.00  136.00     6  two_node_pipeli
10:16:11 AM  1000     25510  135.00    2.00    0.00    0.00  137.00     6  two_node_pipeli
10:16:12 AM  1000     25510  135.00    0.00    0.00    0.00  135.00     6  two_node_pipeli
10:16:13 AM  1000     25510  134.00    0.00    0.00    0.00  134.00     6  two_node_pipeli
10:16:14 AM  1000     25510  136.00    1.00    0.00    0.00  137.00     6  two_node_pipeli
10:16:15 AM  1000     25510  134.00    1.00    0.00    0.00  135.00     6  two_node_pipeli
10:16:16 AM  1000     25510  133.00    2.00    0.00    0.00  135.00     6  two_node_pipeli
10:16:17 AM  1000     25510  132.67    0.00    0.00    0.00  132.67     6  two_node_pipeli
10:16:18 AM  1000     25510  135.35    0.00    0.00    0.00  135.35     6  two_node_pipeli
10:16:19 AM  1000     25510  135.00    1.00    0.00    0.00  136.00     6  two_node_pipeli
10:16:20 AM  1000     25510  132.67    0.99    0.00    0.00  133.66     6  two_node_pipeli
10:16:21 AM  1000     25510  134.00    0.00    0.00    0.00  134.00     6  two_node_pipeli
10:16:22 AM  1000     25510  134.00    0.00    0.00    0.00  134.00     6  two_node_pipeli
10:16:23 AM  1000     25510  134.00    1.00    0.00    0.00  135.00     6  two_node_pipeli
10:16:24 AM  1000     25510  134.00    0.00    0.00    0.00  134.00     6  two_node_pipeli
10:16:25 AM  1000     25510  133.00    0.00    0.00    0.00  133.00     6  two_node_pipeli
10:16:26 AM  1000     25510  135.00    0.00    0.00    0.00  135.00     6  two_node_pipeli
10:16:27 AM  1000     25510  135.00    0.00    0.00    0.00  135.00     6  two_node_pipeli
10:16:28 AM  1000     25510  134.00    0.00    0.00    0.00  134.00     6  two_node_pipeli
10:16:29 AM  1000     25510  134.00    0.00    0.00    0.00  134.00     6  two_node_pipeli
10:16:30 AM  1000     25510  135.00    0.00    0.00    0.00  135.00     6  two_node_pipeli
10:16:31 AM  1000     25510  134.00    0.00    0.00    0.00  134.00     6  two_node_pipeli
10:16:32 AM  1000     25510  134.00    1.00    0.00    0.00  135.00     6  two_node_pipeli
10:16:33 AM  1000     25510  133.00    0.00    0.00    0.00  133.00     6  two_node_pipeli
10:16:34 AM  1000     25510  135.00    0.00    0.00    0.00  135.00     6  two_node_pipeli
10:16:35 AM  1000     25510  134.00    1.00    0.00    0.00  135.00     6  two_node_pipeli
10:16:36 AM  1000     25510  133.00    2.00    0.00    0.00  135.00     6  two_node_pipeli
10:16:37 AM  1000     25510  134.00    0.00    0.00    0.00  134.00     6  two_node_pipeli
10:16:38 AM  1000     25510  134.00    0.00    0.00    0.00  134.00     6  two_node_pipeli
10:16:39 AM  1000     25510  135.00    0.00    0.00    0.00  135.00     6  two_node_pipeli
10:16:40 AM  1000     25510  134.00    1.00    0.00    0.00  135.00     6  two_node_pipeli
10:16:41 AM  1000     25510  134.00    1.00    0.00    0.00  135.00     6  two_node_pipeli
10:16:42 AM  1000     25510  135.00    0.00    0.00    0.00  135.00     6  two_node_pipeli
10:16:43 AM  1000     25510  135.00    1.00    0.00    0.00  136.00     6  two_node_pipeli
10:16:44 AM  1000     25510  134.00    1.00    0.00    0.00  135.00     6  two_node_pipeli
10:16:45 AM  1000     25510  134.00    0.00    0.00    0.00  134.00     6  two_node_pipeli
10:16:46 AM  1000     25510  135.00    1.00    0.00    0.00  136.00     6  two_node_pipeli
10:16:47 AM  1000     25510  136.00    1.00    0.00    0.00  137.00     6  two_node_pipeli
10:16:48 AM  1000     25510  134.00    0.00    0.00    0.00  134.00     6  two_node_pipeli
10:16:49 AM  1000     25510  136.00    0.00    0.00    0.00  136.00     6  two_node_pipeli
10:16:50 AM  1000     25510  134.00    1.00    0.00    0.00  135.00     6  two_node_pipeli
10:16:51 AM  1000     25510  135.00    1.00    0.00    0.00  136.00     6  two_node_pipeli
10:16:52 AM  1000     25510  135.00    0.00    0.00    0.00  135.00     6  two_node_pipeli
10:16:53 AM  1000     25510  134.00    0.00    0.00    0.00  134.00     6  two_node_pipeli
10:16:54 AM  1000     25510  135.00    1.00    0.00    0.00  136.00     6  two_node_pipeli
10:16:55 AM  1000     25510  134.00    0.00    0.00    0.00  134.00     6  two_node_pipeli
10:16:56 AM  1000     25510  135.00    0.00    0.00    0.00  135.00     6  two_node_pipeli
10:16:57 AM  1000     25510  132.00    1.00    0.00    0.00  133.00     6  two_node_pipeli
10:16:58 AM  1000     25510  135.00    1.00    0.00    0.00  136.00     6  two_node_pipeli
10:16:59 AM  1000     25510  134.00    2.00    0.00    0.00  136.00     6  two_node_pipeli
