Linux 5.10.216-tegra (neu-desktop) 	11/06/2024 	_aarch64_	(12 CPU)

10:22:03 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:23:11 AM  1000     28258  136.00    0.00    0.00    0.00  136.00     5  two_node_pipeli
10:23:12 AM  1000     28258  136.00    0.00    0.00    0.00  136.00     5  two_node_pipeli
10:23:13 AM  1000     28258  134.00    0.00    0.00    0.00  134.00     5  two_node_pipeli
10:23:14 AM  1000     28258  135.00    0.00    0.00    0.00  135.00     5  two_node_pipeli
10:23:15 AM  1000     28258  137.00    1.00    0.00    0.00  138.00     5  two_node_pipeli
10:23:16 AM  1000     28258  135.00    0.00    0.00    0.00  135.00     5  two_node_pipeli
10:23:17 AM  1000     28258  135.00    0.00    0.00    0.00  135.00     5  two_node_pipeli
10:23:18 AM  1000     28258  134.00    0.00    0.00    0.00  134.00     5  two_node_pipeli
10:23:19 AM  1000     28258  136.00    1.00    0.00    0.00  137.00     5  two_node_pipeli
10:23:20 AM  1000     28258  136.00    0.00    0.00    0.00  136.00     5  two_node_pipeli
10:23:21 AM  1000     28258  133.00    1.00    0.00    0.00  134.00     5  two_node_pipeli
10:23:22 AM  1000     28258  134.00    0.00    0.00    0.00  134.00     5  two_node_pipeli
10:23:23 AM  1000     28258  137.00    1.00    0.00    0.00  138.00     5  two_node_pipeli
10:23:24 AM  1000     28258  136.00    0.00    0.00    0.00  136.00     5  two_node_pipeli
10:23:25 AM  1000     28258  133.00    0.00    0.00    0.00  133.00     5  two_node_pipeli
10:23:26 AM  1000     28258  134.00    1.00    0.00    0.00  135.00     5  two_node_pipeli
10:23:27 AM  1000     28258  138.00    1.00    0.00    0.00  139.00     5  two_node_pipeli
10:23:28 AM  1000     28258  135.00    0.00    0.00    0.00  135.00     5  two_node_pipeli
10:23:29 AM  1000     28258  133.00    0.00    0.00    0.00  133.00     5  two_node_pipeli
10:23:30 AM  1000     28258  136.00    1.00    0.00    0.00  137.00     5  two_node_pipeli
10:23:31 AM  1000     28258  136.00    0.00    0.00    0.00  136.00     5  two_node_pipeli
10:23:32 AM  1000     28258  136.00    0.00    0.00    0.00  136.00     5  two_node_pipeli
10:23:33 AM  1000     28258  134.00    0.00    0.00    0.00  134.00     5  two_node_pipeli
10:23:34 AM  1000     28258  133.66    0.00    0.00    0.00  133.66     5  two_node_pipeli
10:23:35 AM  1000     28258  137.00    0.00    0.00    0.00  137.00     5  two_node_pipeli
10:23:36 AM  1000     28258  135.00    1.00    0.00    0.00  136.00     5  two_node_pipeli
10:23:37 AM  1000     28258  135.00    0.00    0.00    0.00  135.00     5  two_node_pipeli
10:23:38 AM  1000     28258  134.00    0.00    0.00    0.00  134.00     5  two_node_pipeli
10:23:39 AM  1000     28258  136.00    1.00    0.00    0.00  137.00     5  two_node_pipeli
10:23:40 AM  1000     28258  135.00    0.00    0.00    0.00  135.00     5  two_node_pipeli
10:23:41 AM  1000     28258  135.00    0.00    0.00    0.00  135.00     5  two_node_pipeli
10:23:42 AM  1000     28258  134.00    0.00    0.00    0.00  134.00     5  two_node_pipeli
10:23:43 AM  1000     28258  137.00    1.00    0.00    0.00  138.00     5  two_node_pipeli
Average:     1000     28258  134.59    0.70    0.00    0.00  135.29     -  two_node_pipeli
