Linux 5.10.216-tegra (neu-desktop) 	11/05/2024 	_aarch64_	(12 CPU)
08:37:46 PM  1000     83393     32.00      0.00  two_node_pipeli
08:37:46 PM  1000     83392     27.00      0.00  two_node_pipeli

08:37:46 PM   UID       PID   cswch/s nvcswch/s  Command
08:37:47 PM  1000     83394     24.00      0.00  two_node_pipeli
08:37:47 PM  1000     83382     28.00      0.00  two_node_pipeli
08:37:47 PM  1000     83393     36.00      0.00  two_node_pipeli
08:37:47 PM  1000     83392     29.00      0.00  two_node_pipeli

08:37:47 PM   UID       PID   cswch/s nvcswch/s  Command
08:37:48 PM  1000     83394     28.00      1.00  two_node_pipeli
08:37:48 PM  1000     83382     30.00      0.00  two_node_pipeli
08:37:48 PM  1000     83393     29.00      1.00  two_node_pipeli
08:37:48 PM  1000     83392     27.00      0.00  two_node_pipeli

08:37:48 PM   UID       PID   cswch/s nvcswch/s  Command
08:37:49 PM  1000     83394     27.00      0.00  two_node_pipeli
08:37:49 PM  1000     83382     24.00      0.00  two_node_pipeli
08:37:49 PM  1000     83393     27.00      0.00  two_node_pipeli
08:37:49 PM  1000     83392     26.00      0.00  two_node_pipeli

08:37:49 PM   UID       PID   cswch/s nvcswch/s  Command
08:37:50 PM  1000     83394     26.00      0.00  two_node_pipeli
08:37:50 PM  1000     83382     29.00      0.00  two_node_pipeli
08:37:50 PM  1000     83393     34.00      0.00  two_node_pipeli
08:37:50 PM  1000     83392     27.00      0.00  two_node_pipeli

08:37:50 PM   UID       PID   cswch/s nvcswch/s  Command
08:37:51 PM  1000     83394     28.00      0.00  two_node_pipeli
08:37:51 PM  1000     83382     32.00      0.00  two_node_pipeli
08:37:51 PM  1000     83393     26.00      0.00  two_node_pipeli
08:37:51 PM  1000     83392     29.00      0.00  two_node_pipeli

08:37:51 PM   UID       PID   cswch/s nvcswch/s  Command
08:37:52 PM  1000     83394     24.00      1.00  two_node_pipeli
08:37:52 PM  1000     83382     28.00      0.00  two_node_pipeli
08:37:52 PM  1000     83393     30.00      1.00  two_node_pipeli
08:37:52 PM  1000     83392     32.00      1.00  two_node_pipeli

08:37:52 PM   UID       PID   cswch/s nvcswch/s  Command
08:37:53 PM  1000     83394     28.00      0.00  two_node_pipeli
08:37:53 PM  1000     83382     24.00      0.00  two_node_pipeli
08:37:53 PM  1000     83393     24.00      0.00  two_node_pipeli
08:37:53 PM  1000     83392     27.00      0.00  two_node_pipeli

08:37:53 PM   UID       PID   cswch/s nvcswch/s  Command
08:37:54 PM  1000     83394     25.00      0.00  two_node_pipeli
08:37:54 PM  1000     83382     35.00      0.00  two_node_pipeli
08:37:54 PM  1000     83393     27.00      0.00  two_node_pipeli
08:37:54 PM  1000     83392     28.00      0.00  two_node_pipeli

08:37:54 PM   UID       PID   cswch/s nvcswch/s  Command
08:37:55 PM  1000     83394     24.00      0.00  two_node_pipeli
08:37:55 PM  1000     83382     32.00      0.00  two_node_pipeli
08:37:55 PM  1000     83393     31.00      0.00  two_node_pipeli
08:37:55 PM  1000     83392     28.00      0.00  two_node_pipeli

08:37:55 PM   UID       PID   cswch/s nvcswch/s  Command
08:37:56 PM  1000     83394     34.00      1.00  two_node_pipeli
08:37:56 PM  1000     83382     26.00      0.00  two_node_pipeli
08:37:56 PM  1000     83393     27.00      1.00  two_node_pipeli
08:37:56 PM  1000     83392     29.00      0.00  two_node_pipeli

08:37:56 PM   UID       PID   cswch/s nvcswch/s  Command
08:37:57 PM  1000     83394     26.00      0.00  two_node_pipeli
