|CALIBRATION TEST|[Setting: 10ms]->@time-measure: 9926147. 

|TID:1581572032|-->[Chain1-Sensor1.exe:600(100us)]-->[Start@1726393189510231958-End@1726393189670453215-Cost:160221257(ns) and Published msg: 0]. 

|TID:1275066112|-->[Chain2-Sensor1.exe:600(100us)]-->[Start@1726393189526989525-End@1726393189672852464-Cost:145862939(ns) and Published msg: 0]. 

|TID:1275066112|-->[Chain4-Sensor1.exe:600(100us)]-->[Start@1726393189675874918-End@1726393189786964973-Cost:111090055(ns) and Published msg: 0]. 

|TID:1581572032|-->[Chain3-Sensor1.exe:600(100us)]-->[Start@1726393189673625412-End@1726393189793677491-Cost:120052079(ns) and Published msg: 0]. 

|TID:1581572032|-->[Chain1-Transfer2.exe:400(100us)]-->[Start@1726393189793999113-End@1726393189849914848-Cost:55915735(ns) and Route msg: 0]. 

|TID:1275066112|-->[Chain5-Sensor1.exe:600(100us)]-->[Start@1726393189787331959-End@1726393189868824491-Cost:81492532(ns) and Published msg: 0]. 

|TID:1581572032|-->[Chain2-Transfer2.exe:400(100us)]-->[Start@1726393189850164549-End@1726393189906421183-Cost:56256634(ns) and Route msg: 0]. 

|TID:1275066112|-->[Chain1-Command3.exe:200(100us)]-->[Start@1726393189869740085-End@1726393189925336167-Cost:55596082(ns) and Received msg: 0]. 

|TID:1581572032|-->[Chain4-Transfer2.exe:400(100us)]-->[Start@1726393189906683146-End@1726393189950079511-Cost:43396365(ns) and Route msg: 0]. 

|TID:1275066112|-->[Chain3-Transfer2.exe:400(100us)]-->[Start@1726393189925520666-End@1726393189973871087-Cost:48350421(ns) and Route msg: 0]. 

|TID:1581572032|-->[Chain5-Transfer2.exe:400(100us)]-->[Start@1726393189950416945-End@1726393189990678616-Cost:40261671(ns) and Route msg: 0]. 

|TID:1275066112|-->[Chain1-Sensor1.exe:600(100us)]-->[Start@1726393189974534324-End@1726393190033191297-Cost:58656973(ns) and Published msg: 1]. 

|TID:1581572032|-->[Chain2-Sensor1.exe:600(100us)]-->[Start@1726393189990898442-End@1726393190051565873-Cost:60667431(ns) and Published msg: 1]. 

|TID:1275066112|-->[Chain3-Sensor1.exe:600(100us)]-->[Start@1726393190033287219-End@1726393190094723675-Cost:61436456(ns) and Published msg: 1]. 

|TID:1581572032|-->[Chain4-Sensor1.exe:600(100us)]-->[Start@1726393190051739191-End@1726393190111643439-Cost:59904248(ns) and Published msg: 1]. 

|TID:1275066112|-->[Chain4-Command3.exe:200(100us)]-->[Start@1726393190094938215-End@1726393190114455657-Cost:19517442(ns) and Received msg: 0]. 

|TID:1581572032|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726393190111887274-End@1726393190135986793-Cost:24099519(ns) and Received msg: 0]. 

|TID:1275066112|-->[Chain3-Command3.exe:200(100us)]-->[Start@1726393190114611517-End@1726393190141893296-Cost:27281779(ns) and Received msg: 0]. 

|TID:1275066112|-->[Chain1-Transfer2.exe:400(100us)]-->[Start@1726393190142003576-End@1726393190186763445-Cost:44759869(ns) and Route msg: 1]. 

|TID:1581572032|-->[Chain5-Sensor1.exe:600(100us)]-->[Start@1726393190136837020-End@1726393190203711910-Cost:66874890(ns) and Published msg: 1]. 

|TID:1275066112|-->[Chain2-Transfer2.exe:400(100us)]-->[Start@1726393190187015050-End@1726393190235009526-Cost:47994476(ns) and Route msg: 1]. 

|TID:1581572032|-->[Chain4-Transfer2.exe:400(100us)]-->[Start@1726393190203964508-End@1726393190268297896-Cost:64333388(ns) and Route msg: 1]. 

|TID:1275066112|-->[Chain3-Transfer2.exe:400(100us)]-->[Start@1726393190235188114-End@1726393190286421163-Cost:51233049(ns) and Route msg: 1]. 

|TID:1581572032|-->[Chain5-Command3.exe:200(100us)]-->[Start@1726393190268621639-End@1726393190297200886-Cost:28579247(ns) and Received msg: 0]. 

|TID:1275066112|-->[Chain1-Command3.exe:200(100us)]-->[Start@1726393190287162823-End@1726393190314779656-Cost:27616833(ns) and Received msg: 1]. 

|TID:1581572032|-->[Chain4-Command3.exe:200(100us)]-->[Start@1726393190297435278-End@1726393190326422539-Cost:28987261(ns) and Received msg: 1]. 

|TID:1275066112|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726393190314978996-End@1726393190342894537-Cost:27915541(ns) and Received msg: 1]. 

|TID:1581572032|-->[Chain3-Command3.exe:200(100us)]-->[Start@1726393190326666928-End@1726393190347320534-Cost:20653606(ns) and Received msg: 1]. 

|TID:1275066112|-->[Chain5-Transfer2.exe:400(100us)]-->[Start@1726393190343029518-End@1726393190384974507-Cost:41944989(ns) and Route msg: 1]. 

|TID:1581572032|-->[Chain1-Sensor1.exe:600(100us)]-->[Start@1726393190348017015-End@1726393190409233020-Cost:61216005(ns) and Published msg: 2]. 

|TID:1275066112|-->[Chain2-Sensor1.exe:600(100us)]-->[Start@1726393190385107207-End@1726393190454360792-Cost:69253585(ns) and Published msg: 2]. 

|TID:1581572032|-->[Chain3-Sensor1.exe:600(100us)]-->[Start@1726393190409432615-End@1726393190472601747-Cost:63169132(ns) and Published msg: 2]. 

|TID:1275066112|-->[Chain4-Sensor1.exe:600(100us)]-->[Start@1726393190455321953-End@1726393190538412283-Cost:83090330(ns) and Published msg: 2]. 

|TID:1581572032|-->[Chain5-Sensor1.exe:600(100us)]-->[Start@1726393190472802882-End@1726393190548989910-Cost:76187028(ns) and Published msg: 2]. 

|TID:1275066112|-->[Chain1-Transfer2.exe:400(100us)]-->[Start@1726393190538657123-End@1726393190585426308-Cost:46769185(ns) and Route msg: 2]. 

|TID:1581572032|-->[Chain2-Transfer2.exe:400(100us)]-->[Start@1726393190549250894-End@1726393190589051584-Cost:39800690(ns) and Route msg: 2]. 

|TID:1275066112|-->[Chain5-Command3.exe:200(100us)]-->[Start@1726393190585617674-End@1726393190607221821-Cost:21604147(ns) and Received msg: 1]. 

|TID:1581572032|-->[Chain1-Command3.exe:200(100us)]-->[Start@1726393190589818680-End@1726393190611448211-Cost:21629531(ns) and Received msg: 2]. 

|TID:1581572032|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726393190611644339-End@1726393190631288605-Cost:19644266(ns) and Received msg: 2]. 

|TID:1275066112|-->[Chain4-Transfer2.exe:400(100us)]-->[Start@1726393190607327626-End@1726393190650572053-Cost:43244427(ns) and Route msg: 2]. 

|TID:1581572032|-->[Chain3-Transfer2.exe:400(100us)]-->[Start@1726393190631443023-End@1726393190670876224-Cost:39433201(ns) and Route msg: 2]. 

|TID:1275066112|-->[Chain5-Transfer2.exe:400(100us)]-->[Start@1726393190650720179-End@1726393190690533858-Cost:39813679(ns) and Route msg: 2]. 

|TID:1581572032|-->[Chain4-Command3.exe:200(100us)]-->[Start@1726393190671554222-End@1726393190691357063-Cost:19802841(ns) and Received msg: 2]. 

|TID:1581572032|-->[Chain5-Command3.exe:200(100us)]-->[Start@1726393190691937963-End@1726393190714528362-Cost:22590399(ns) and Received msg: 2]. 

|TID:1275066112|-->[Chain3-Command3.exe:200(100us)]-->[Start@1726393190690672382-End@1726393190715223718-Cost:24551336(ns) and Received msg: 2]. 

|TID:1581572032|-->[Chain1-Sensor1.exe:600(100us)]-->[Start@1726393190715084894-End@1726393190774715037-Cost:59630143(ns) and Published msg: 3]. 

|TID:1275066112|-->[Chain2-Sensor1.exe:600(100us)]-->[Start@1726393190725885377-End@1726393190786697858-Cost:60812481(ns) and Published msg: 3]. 

