Linux 5.15.0-121-generic (NEU) 	09/16/2024 	_x86_64_	(16 CPU)

03:06:26 PM   UID       PID   cswch/s nvcswch/s  Command
03:06:27 PM  1000      4910      4.00    234.00  two_node_pipeli
03:06:28 PM  1000      4910      3.00    125.00  two_node_pipeli
03:06:29 PM  1000      4910      3.00    121.00  two_node_pipeli
03:06:30 PM  1000      4910      0.00    593.00  two_node_pipeli
03:06:31 PM  1000      4910      0.00    238.00  two_node_pipeli
03:06:32 PM  1000      4910      0.00    486.00  two_node_pipeli
03:06:33 PM  1000      4910      0.00    662.00  two_node_pipeli
03:06:34 PM  1000      4910      0.00    485.00  two_node_pipeli
03:06:35 PM  1000      4910      0.00    468.00  two_node_pipeli
03:06:36 PM  1000      4910      0.00     37.00  two_node_pipeli
03:06:37 PM  1000      4910      0.00     41.00  two_node_pipeli
03:06:38 PM  1000      4910      0.00     19.00  two_node_pipeli
03:06:39 PM  1000      4910      0.00     54.00  two_node_pipeli
03:06:40 PM  1000      4910      0.00    293.00  two_node_pipeli
03:06:41 PM  1000      4910      0.00     84.00  two_node_pipeli
03:06:42 PM  1000      4910      1.00    153.00  two_node_pipeli
03:06:43 PM  1000      4910      2.00    153.00  two_node_pipeli
03:06:44 PM  1000      4910      6.00    116.00  two_node_pipeli
03:06:45 PM  1000      4910      2.00     79.00  two_node_pipeli
03:06:46 PM  1000      4910      8.00    105.00  two_node_pipeli
03:06:47 PM  1000      4910      6.00    183.00  two_node_pipeli
03:06:48 PM  1000      4910      2.00    244.00  two_node_pipeli
03:06:49 PM  1000      4910      7.00     58.00  two_node_pipeli
03:06:50 PM  1000      4910      3.00     34.00  two_node_pipeli
03:06:51 PM  1000      4910      6.00    102.00  two_node_pipeli
03:06:52 PM  1000      4910      2.00    224.00  two_node_pipeli
03:06:53 PM  1000      4910      7.00     93.00  two_node_pipeli
03:06:54 PM  1000      4910      1.00     13.00  two_node_pipeli
03:06:55 PM  1000      4910      4.00     16.00  two_node_pipeli
03:06:56 PM  1000      4910      3.00     59.00  two_node_pipeli
03:06:57 PM  1000      4910      7.00    254.00  two_node_pipeli
03:06:58 PM  1000      4910      8.00    157.00  two_node_pipeli
03:06:59 PM  1000      4910      6.00    136.00  two_node_pipeli
03:07:00 PM  1000      4910      7.00    171.00  two_node_pipeli
03:07:01 PM  1000      4910      7.00     23.00  two_node_pipeli
03:07:02 PM  1000      4910      5.00     89.00  two_node_pipeli
03:07:03 PM  1000      4910      1.00    274.00  two_node_pipeli
03:07:04 PM  1000      4910      2.00    139.00  two_node_pipeli
03:07:05 PM  1000      4910      7.00    320.00  two_node_pipeli
03:07:06 PM  1000      4910      6.00     56.00  two_node_pipeli
03:07:07 PM  1000      4910      5.00     16.00  two_node_pipeli
03:07:08 PM  1000      4910     12.00     89.00  two_node_pipeli
03:07:09 PM  1000      4910      5.94    242.57  two_node_pipeli
03:07:10 PM  1000      4910      4.00     98.00  two_node_pipeli
03:07:11 PM  1000      4910      4.00     19.00  two_node_pipeli
03:07:12 PM  1000      4910      6.00     33.00  two_node_pipeli
03:07:13 PM  1000      4910      2.00     50.00  two_node_pipeli
03:07:14 PM  1000      4910      2.00     43.00  two_node_pipeli
03:07:15 PM  1000      4910     10.00    203.00  two_node_pipeli
03:07:16 PM  1000      4910      0.00    145.00  two_node_pipeli
03:07:17 PM  1000      4910      3.00    184.00  two_node_pipeli
03:07:18 PM  1000      4910      2.00    106.00  two_node_pipeli
03:07:19 PM  1000      4910      9.00     40.00  two_node_pipeli
03:07:20 PM  1000      4910      3.00     39.00  two_node_pipeli
03:07:21 PM  1000      4910      2.00     51.00  two_node_pipeli
03:07:22 PM  1000      4910     12.00    179.00  two_node_pipeli
03:07:23 PM  1000      4910      7.00     76.00  two_node_pipeli
03:07:24 PM  1000      4910      4.00     77.00  two_node_pipeli
03:07:25 PM  1000      4910      5.00    141.00  two_node_pipeli
03:07:26 PM  1000      4910      2.00    101.00  two_node_pipeli
03:07:27 PM  1000      4910      6.00     42.00  two_node_pipeli
03:07:28 PM  1000      4910      7.00      5.00  two_node_pipeli
03:07:29 PM  1000      4910      6.00     95.00  two_node_pipeli
03:07:30 PM  1000      4910      3.00    118.00  two_node_pipeli
03:07:31 PM  1000      4910      5.00    187.00  two_node_pipeli
03:07:32 PM  1000      4910      9.00     33.00  two_node_pipeli
03:07:33 PM  1000      4910      5.00     29.00  two_node_pipeli
03:07:34 PM  1000      4910      6.00     34.00  two_node_pipeli
03:07:35 PM  1000      4910      3.00    212.00  two_node_pipeli
03:07:36 PM  1000      4910      7.00    145.00  two_node_pipeli
03:07:37 PM  1000      4910      5.00     39.00  two_node_pipeli
03:07:38 PM  1000      4910      6.00     77.00  two_node_pipeli
03:07:39 PM  1000      4910      3.00    157.00  two_node_pipeli
03:07:40 PM  1000      4910      8.00     52.00  two_node_pipeli
03:07:41 PM  1000      4910     12.00     54.00  two_node_pipeli
03:07:42 PM  1000      4910      2.00     34.00  two_node_pipeli
03:07:43 PM  1000      4910      4.00     46.00  two_node_pipeli
03:07:44 PM  1000      4910      6.00     24.00  two_node_pipeli
03:07:45 PM  1000      4910      4.00      6.00  two_node_pipeli
03:07:46 PM  1000      4910      5.00     96.00  two_node_pipeli
03:07:47 PM  1000      4910      5.00     46.00  two_node_pipeli
03:07:48 PM  1000      4910      5.00    102.00  two_node_pipeli
03:07:49 PM  1000      4910      4.00     82.00  two_node_pipeli
03:07:50 PM  1000      4910      4.00    159.00  two_node_pipeli
03:07:51 PM  1000      4910      6.00     87.00  two_node_pipeli
03:07:52 PM  1000      4910      7.00    163.00  two_node_pipeli
03:07:53 PM  1000      4910      3.00    133.00  two_node_pipeli
