|CALIBRATION TEST|[Setting: 10ms]->@time-measure: 9917719. 
Chain 1 : 350ms | 35	35	35
Chain 2 : 400ms | 40	40	40
Chain 3 : 450ms | 45	45	45
Chain 4 : 500ms | 50	50	50

|TID:1252255488|-->[Chain1-Sensor1.exe:350(100us)]-->[Start@1726540302615496579-End@1726540302650257173-Cost:34760594(ns) and Published msg: 0]. 

|TID:1355251648|-->[Chain1-Transfer2.exe:350(100us)]-->[Start@1726540302650532223-End@1726540302684717859-Cost:34185636(ns) and Route msg: 0]. 

|TID:1355251648|-->[Chain1-Command3.exe:350(100us)]-->[Start@1726540302685058354-End@1726540302719299495-Cost:34241141(ns) and Received msg: 0]. 

|TID:1252255488|-->[Chain2-Sensor1.exe:400(100us)]-->[Start@1726540302682531431-End@1726540302721651892-Cost:39120461(ns) and Published msg: 0]. 

|TID:1355251648|-->[Chain2-Transfer2.exe:400(100us)]-->[Start@1726540302721909702-End@1726540302760796128-Cost:38886426(ns) and Route msg: 0]. 

|TID:1252255488|-->[Chain3-Sensor1.exe:450(100us)]-->[Start@1726540302749314692-End@1726540302793360953-Cost:44046261(ns) and Published msg: 0]. 

|TID:1355251648|-->[Chain2-Command3.exe:400(100us)]-->[Start@1726540302761160973-End@1726540302800069293-Cost:38908320(ns) and Received msg: 0]. 

|TID:1252255488|-->[Chain3-Transfer2.exe:450(100us)]-->[Start@1726540302793773932-End@1726540302838492564-Cost:44718632(ns) and Route msg: 0]. 

|TID:1355251648|-->[Chain4-Sensor1.exe:500(100us)]-->[Start@1726540302818400536-End@1726540302868244555-Cost:49844019(ns) and Published msg: 0]. 

|TID:1252255488|-->[Chain3-Command3.exe:450(100us)]-->[Start@1726540302838886942-End@1726540302884120933-Cost:45233991(ns) and Received msg: 0]. 

|TID:1355251648|-->[Chain4-Transfer2.exe:500(100us)]-->[Start@1726540302868670209-End@1726540302918242905-Cost:49572696(ns) and Route msg: 0]. 

|TID:1252255488|-->[Chain4-Command3.exe:500(100us)]-->[Start@1726540302918574548-End@1726540302968367737-Cost:49793189(ns) and Received msg: 0]. 

|TID:1355251648|-->[Chain1-Sensor1.exe:350(100us)]-->[Start@1726540302965128232-End@1726540303000236136-Cost:35107904(ns) and Published msg: 1]. 

|TID:1252255488|-->[Chain1-Transfer2.exe:350(100us)]-->[Start@1726540303000463250-End@1726540303035483163-Cost:35019913(ns) and Route msg: 1]. 

|TID:1355251648|-->[Chain1-Command3.exe:350(100us)]-->[Start@1726540303035776642-End@1726540303070174140-Cost:34397498(ns) and Received msg: 1]. 

|TID:1252255488|-->[Chain2-Sensor1.exe:400(100us)]-->[Start@1726540303082507692-End@1726540303122253544-Cost:39745852(ns) and Published msg: 1]. 

|TID:1355251648|-->[Chain2-Transfer2.exe:400(100us)]-->[Start@1726540303122494933-End@1726540303161629575-Cost:39134642(ns) and Route msg: 1]. 

|TID:1252255488|-->[Chain2-Command3.exe:400(100us)]-->[Start@1726540303161838764-End@1726540303201701233-Cost:39862469(ns) and Received msg: 1]. 

|TID:1355251648|-->[Chain3-Sensor1.exe:450(100us)]-->[Start@1726540303199325153-End@1726540303245040930-Cost:45715777(ns) and Published msg: 1]. 

|TID:1252255488|-->[Chain3-Transfer2.exe:450(100us)]-->[Start@1726540303245484822-End@1726540303298874268-Cost:53389446(ns) and Route msg: 1]. 

|TID:1355251648|-->[Chain3-Command3.exe:450(100us)]-->[Start@1726540303299287713-End@1726540303374291162-Cost:75003449(ns) and Received msg: 1]. 

|TID:1252255488|-->[Chain1-Sensor1.exe:350(100us)]-->[Start@1726540303319826399-End@1726540303390731664-Cost:70905265(ns) and Published msg: 2]. 

|TID:1252255488|-->[Chain1-Transfer2.exe:350(100us)]-->[Start@1726540303391265959-End@1726540303426233089-Cost:34967130(ns) and Route msg: 2]. 

|TID:1355251648|-->[Chain4-Sensor1.exe:500(100us)]-->[Start@1726540303374394216-End@1726540303428597021-Cost:54202805(ns) and Published msg: 1]. 

|TID:1252255488|-->[Chain1-Command3.exe:350(100us)]-->[Start@1726540303426656512-End@1726540303461630072-Cost:34973560(ns) and Received msg: 2]. 

|TID:1355251648|-->[Chain4-Transfer2.exe:500(100us)]-->[Start@1726540303429186990-End@1726540303480450069-Cost:51263079(ns) and Route msg: 1]. 

|TID:1252255488|-->[Chain4-Command3.exe:500(100us)]-->[Start@1726540303480888961-End@1726540303538873580-Cost:57984619(ns) and Received msg: 1]. 

|TID:1355251648|-->[Chain2-Sensor1.exe:400(100us)]-->[Start@1726540303487420722-End@1726540303552755151-Cost:65334429(ns) and Published msg: 2]. 

|TID:1252255488|-->[Chain2-Transfer2.exe:400(100us)]-->[Start@1726540303553104679-End@1726540303592999486-Cost:39894807(ns) and Route msg: 2]. 

|TID:1355251648|-->[Chain2-Command3.exe:400(100us)]-->[Start@1726540303593438350-End@1726540303634353848-Cost:40915498(ns) and Received msg: 2]. 

|TID:1355251648|-->[Chain3-Sensor1.exe:450(100us)]-->[Start@1726540303649587066-End@1726540303693504750-Cost:43917684(ns) and Published msg: 2]. 

|TID:1252255488|-->[Chain1-Sensor1.exe:350(100us)]-->[Start@1726540303665122035-End@1726540303701876075-Cost:36754040(ns) and Published msg: 3]. 

|TID:1252255488|-->[Chain1-Transfer2.exe:350(100us)]-->[Start@1726540303702368469-End@1726540303737469565-Cost:35101096(ns) and Route msg: 3]. 

|TID:1355251648|-->[Chain3-Transfer2.exe:450(100us)]-->[Start@1726540303694036993-End@1726540303737844759-Cost:43807766(ns) and Route msg: 2]. 

|TID:1252255488|-->[Chain1-Command3.exe:350(100us)]-->[Start@1726540303737799230-End@1726540303773043588-Cost:35244358(ns) and Received msg: 3]. 

|TID:1355251648|-->[Chain3-Command3.exe:450(100us)]-->[Start@1726540303738229093-End@1726540303782828551-Cost:44599458(ns) and Received msg: 2]. 

|TID:1252255488|-->[Chain4-Sensor1.exe:500(100us)]-->[Start@1726540303818502049-End@1726540303867823510-Cost:49321461(ns) and Published msg: 2]. 

|TID:1355251648|-->[Chain4-Transfer2.exe:500(100us)]-->[Start@1726540303868137265-End@1726540303917609401-Cost:49472136(ns) and Route msg: 2]. 

|TID:1252255488|-->[Chain2-Sensor1.exe:400(100us)]-->[Start@1726540303882325682-End@1726540303924247101-Cost:41921419(ns) and Published msg: 3]. 

|TID:1355251648|-->[Chain4-Command3.exe:500(100us)]-->[Start@1726540303918289371-End@1726540303977982421-Cost:59693050(ns) and Received msg: 2]. 

|TID:1252255488|-->[Chain2-Transfer2.exe:400(100us)]-->[Start@1726540303925239003-End@1726540303986957626-Cost:61718623(ns) and Route msg: 3]. 

|TID:1355251648|-->[Chain2-Command3.exe:400(100us)]-->[Start@1726540303987382222-End@1726540304027176050-Cost:39793828(ns) and Received msg: 3]. 

|TID:1252255488|-->[Chain1-Sensor1.exe:350(100us)]-->[Start@1726540304015289542-End@1726540304052040946-Cost:36751404(ns) and Published msg: 4]. 

|TID:1355251648|-->[Chain1-Transfer2.exe:350(100us)]-->[Start@1726540304052540523-End@1726540304089076498-Cost:36535975(ns) and Route msg: 4]. 

|TID:1252255488|-->[Chain1-Command3.exe:350(100us)]-->[Start@1726540304089495269-End@1726540304134538503-Cost:45043234(ns) and Received msg: 4]. 

|TID:1355251648|-->[Chain3-Sensor1.exe:450(100us)]-->[Start@1726540304102276309-End@1726540304160365507-Cost:58089198(ns) and Published msg: 3]. 

|TID:1252255488|-->[Chain3-Transfer2.exe:450(100us)]-->[Start@1726540304160842994-End@1726540304205376712-Cost:44533718(ns) and Route msg: 3]. 

|TID:1355251648|-->[Chain3-Command3.exe:450(100us)]-->[Start@1726540304205734381-End@1726540304250484291-Cost:44749910(ns) and Received msg: 3]. 

|TID:1252255488|-->[Chain2-Sensor1.exe:400(100us)]-->[Start@1726540304282441306-End@1726540304328382639-Cost:45941333(ns) and Published msg: 4]. 

|TID:1355251648|-->[Chain4-Sensor1.exe:500(100us)]-->[Start@1726540304318474086-End@1726540304368337900-Cost:49863814(ns) and Published msg: 3]. 

|TID:1252255488|-->[Chain2-Transfer2.exe:400(100us)]-->[Start@1726540304328918887-End@1726540304368904632-Cost:39985745(ns) and Route msg: 4]. 

|TID:1355251648|-->[Chain1-Sensor1.exe:350(100us)]-->[Start@1726540304369175633-End@1726540304404265894-Cost:35090261(ns) and Published msg: 5]. 

|TID:1252255488|-->[Chain4-Transfer2.exe:500(100us)]-->[Start@1726540304369251319-End@1726540304419626866-Cost:50375547(ns) and Route msg: 3]. 

|TID:1355251648|-->[Chain2-Command3.exe:400(100us)]-->[Start@1726540304404368924-End@1726540304444201274-Cost:39832350(ns) and Received msg: 4]. 

|TID:1252255488|-->[Chain1-Transfer2.exe:350(100us)]-->[Start@1726540304420176227-End@1726540304455041297-Cost:34865070(ns) and Route msg: 5]. 

