Linux 5.15.0-121-generic (NEU) 	09/16/2024 	_x86_64_	(16 CPU)

09:25:27 PM   UID       PID   cswch/s nvcswch/s  Command
09:25:28 PM  1000      6490     22.00    121.00  two_node_pipeli
09:25:29 PM  1000      6490     18.00    116.00  two_node_pipeli
09:25:30 PM  1000      6490     28.00     93.00  two_node_pipeli
09:25:31 PM  1000      6490     19.00     47.00  two_node_pipeli
09:25:32 PM  1000      6490     24.00    336.00  two_node_pipeli
09:25:33 PM  1000      6490     11.00    463.00  two_node_pipeli
09:25:34 PM  1000      6490     31.00    129.00  two_node_pipeli
09:25:35 PM  1000      6490     21.00    126.00  two_node_pipeli
09:25:36 PM  1000      6490     24.00     54.00  two_node_pipeli
09:25:37 PM  1000      6490     29.00     63.00  two_node_pipeli
09:25:38 PM  1000      6490     16.00    201.00  two_node_pipeli
09:25:39 PM  1000      6490     17.00     34.00  two_node_pipeli
09:25:40 PM  1000      6490     23.00     33.00  two_node_pipeli
09:25:41 PM  1000      6490     17.00     53.00  two_node_pipeli
09:25:42 PM  1000      6490     20.00     29.00  two_node_pipeli
09:25:43 PM  1000      6490     26.00     40.00  two_node_pipeli
09:25:44 PM  1000      6490     17.00     25.00  two_node_pipeli
09:25:45 PM  1000      6490     22.00     62.00  two_node_pipeli
09:25:46 PM  1000      6490     17.00     50.00  two_node_pipeli
09:25:47 PM  1000      6490     13.00     21.00  two_node_pipeli
09:25:48 PM  1000      6490     19.00     55.00  two_node_pipeli
09:25:49 PM  1000      6490     28.00     47.00  two_node_pipeli
09:25:50 PM  1000      6490     22.00     33.00  two_node_pipeli
09:25:51 PM  1000      6490     28.00     37.00  two_node_pipeli
09:25:52 PM  1000      6490     11.00     27.00  two_node_pipeli
09:25:53 PM  1000      6490     19.00     36.00  two_node_pipeli
09:25:54 PM  1000      6490     17.00     33.00  two_node_pipeli
09:25:55 PM  1000      6490     24.00     35.00  two_node_pipeli
09:25:56 PM  1000      6490     17.00     12.00  two_node_pipeli
09:25:57 PM  1000      6490     23.00     47.00  two_node_pipeli
09:25:58 PM  1000      6490     18.00     14.00  two_node_pipeli
09:25:59 PM  1000      6490     15.00     14.00  two_node_pipeli
09:26:00 PM  1000      6490     24.00     28.00  two_node_pipeli
09:26:01 PM  1000      6490     15.00     34.00  two_node_pipeli
09:26:02 PM  1000      6490     21.00    157.00  two_node_pipeli
09:26:03 PM  1000      6490     14.00     45.00  two_node_pipeli
