|CALIBRATION TEST|[Setting: 10ms]->@time-measure: 10004956. 
Chain 1 : 100ms | 15	10	5
Chain 2 : 150ms | 21	14	7

|TID:1173237696|-->[Chain1-Sensor1.exe:150(100us)]-->[Start@1726472383894389805-End@1726472383918529783-Cost:24139978(ns) and Published msg: 0]. 

|TID:845174528|-->[Chain1-Transfer2.exe:100(100us)]-->[Start@1726472383918893745-End@1726472383931676479-Cost:12782734(ns) and Route msg: 0]. 

|TID:1173237696|-->[Chain1-Command3.exe:50(100us)]-->[Start@1726472383938380217-End@1726472383945118609-Cost:6738392(ns) and Received msg: 0]. 

|TID:845174528|-->[Chain1-Sensor1.exe:150(100us)]-->[Start@1726472383945283185-End@1726472383961666822-Cost:16383637(ns) and Published msg: 1]. 

|TID:1173237696|-->[Chain1-Transfer2.exe:100(100us)]-->[Start@1726472383961886420-End@1726472383972106419-Cost:10219999(ns) and Route msg: 1]. 

|TID:1173237696|-->[Chain1-Command3.exe:50(100us)]-->[Start@1726472383972397855-End@1726472383977513874-Cost:5116019(ns) and Received msg: 1]. 

|TID:845174528|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726472383992736504-End@1726472384014398336-Cost:21661832(ns) and Published msg: 0]. 

|TID:1173237696|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726472384014649005-End@1726472384028946504-Cost:14297499(ns) and Route msg: 0]. 

|TID:845174528|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726472384029440116-End@1726472384037435024-Cost:7994908(ns) and Received msg: 0]. 

|TID:1173237696|-->[Chain1-Sensor1.exe:150(100us)]-->[Start@1726472384046127244-End@1726472384061468313-Cost:15341069(ns) and Published msg: 2]. 

|TID:845174528|-->[Chain1-Transfer2.exe:100(100us)]-->[Start@1726472384065829960-End@1726472384081978114-Cost:16148154(ns) and Route msg: 2]. 

|TID:1173237696|-->[Chain1-Command3.exe:50(100us)]-->[Start@1726472384082214244-End@1726472384087351616-Cost:5137372(ns) and Received msg: 2]. 

|TID:1173237696|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726472384142676942-End@1726472384164542726-Cost:21865784(ns) and Published msg: 1]. 

|TID:845174528|-->[Chain1-Sensor1.exe:150(100us)]-->[Start@1726472384143247080-End@1726472384169270330-Cost:26023250(ns) and Published msg: 3]. 

|TID:1173237696|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726472384164893443-End@1726472384179657776-Cost:14764333(ns) and Route msg: 1]. 

|TID:845174528|-->[Chain1-Transfer2.exe:100(100us)]-->[Start@1726472384179982311-End@1726472384190236706-Cost:10254395(ns) and Route msg: 3]. 

|TID:845174528|-->[Chain1-Command3.exe:50(100us)]-->[Start@1726472384190455270-End@1726472384195599360-Cost:5144090(ns) and Received msg: 3]. 

|TID:1173237696|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726472384180022436-End@1726472384196903810-Cost:16881374(ns) and Received msg: 1]. 

|TID:845174528|-->[Chain1-Sensor1.exe:150(100us)]-->[Start@1726472384243294684-End@1726472384258467965-Cost:15173281(ns) and Published msg: 4]. 

|TID:1173237696|-->[Chain1-Transfer2.exe:100(100us)]-->[Start@1726472384258771151-End@1726472384269036619-Cost:10265468(ns) and Route msg: 4]. 

|TID:1173237696|-->[Chain1-Command3.exe:50(100us)]-->[Start@1726472384269324381-End@1726472384274474554-Cost:5150173(ns) and Received msg: 4]. 

|TID:845174528|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726472384292671355-End@1726472384313663833-Cost:20992478(ns) and Published msg: 2]. 

|TID:1173237696|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726472384313942936-End@1726472384328302453-Cost:14359517(ns) and Route msg: 2]. 

|TID:1173237696|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726472384328581106-End@1726472384335745639-Cost:7164533(ns) and Received msg: 2]. 

|TID:845174528|-->[Chain1-Sensor1.exe:150(100us)]-->[Start@1726472384343340918-End@1726472384358399694-Cost:15058776(ns) and Published msg: 5]. 

|TID:1173237696|-->[Chain1-Transfer2.exe:100(100us)]-->[Start@1726472384358672023-End@1726472384368820817-Cost:10148794(ns) and Route msg: 5]. 

|TID:1173237696|-->[Chain1-Command3.exe:50(100us)]-->[Start@1726472384369078408-End@1726472384374208408-Cost:5130000(ns) and Received msg: 5]. 

|TID:1173237696|-->[Chain1-Sensor1.exe:150(100us)]-->[Start@1726472384443236198-End@1726472384458485521-Cost:15249323(ns) and Published msg: 6]. 

|TID:845174528|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726472384442682450-End@1726472384464207096-Cost:21524646(ns) and Published msg: 3]. 

|TID:1173237696|-->[Chain1-Transfer2.exe:100(100us)]-->[Start@1726472384458802992-End@1726472384468952965-Cost:10149973(ns) and Route msg: 6]. 

|TID:1173237696|-->[Chain1-Command3.exe:50(100us)]-->[Start@1726472384469172983-End@1726472384474255134-Cost:5082151(ns) and Received msg: 6]. 

