Linux 5.15.0-121-generic (NEU) 	09/17/2024 	_x86_64_	(16 CPU)

11:13:26 AM   UID       PID   cswch/s nvcswch/s  Command
11:13:27 AM  1000     12341      0.00    146.00  two_node_pipeli
11:13:28 AM  1000     12341      0.00    355.00  two_node_pipeli
11:13:29 AM  1000     12341      0.00    292.00  two_node_pipeli
11:13:30 AM  1000     12341      0.00    987.00  two_node_pipeli
11:13:31 AM  1000     12341      1.00    189.00  two_node_pipeli
11:13:32 AM  1000     12341      2.00    219.00  two_node_pipeli
11:13:33 AM  1000     12341      0.00    402.00  two_node_pipeli
11:13:34 AM  1000     12341      0.00    548.00  two_node_pipeli
11:13:35 AM  1000     12341      0.00    657.00  two_node_pipeli
11:13:36 AM  1000     12341      0.00    477.00  two_node_pipeli
11:13:37 AM  1000     12341      0.00   1266.00  two_node_pipeli
11:13:38 AM  1000     12341      0.00    209.00  two_node_pipeli
11:13:39 AM  1000     12341      0.00      7.00  two_node_pipeli
11:13:40 AM  1000     12341      0.00     13.00  two_node_pipeli
11:13:41 AM  1000     12341      0.00     14.00  two_node_pipeli
11:13:42 AM  1000     12341      0.00     11.00  two_node_pipeli
11:13:43 AM  1000     12341      0.00      6.00  two_node_pipeli
11:13:44 AM  1000     12341      0.00      7.00  two_node_pipeli
11:13:45 AM  1000     12341      0.00     10.00  two_node_pipeli
11:13:46 AM  1000     12341      0.00      8.00  two_node_pipeli
11:13:47 AM  1000     12341      0.00     10.00  two_node_pipeli
11:13:48 AM  1000     12341      0.00     13.00  two_node_pipeli
11:13:49 AM  1000     12341      0.00      9.00  two_node_pipeli
11:13:50 AM  1000     12341      1.00     51.00  two_node_pipeli
11:13:51 AM  1000     12341      0.00     15.00  two_node_pipeli
11:13:52 AM  1000     12341      0.00     21.00  two_node_pipeli
11:13:53 AM  1000     12341      0.00     11.00  two_node_pipeli
11:13:54 AM  1000     12341      0.00      7.00  two_node_pipeli
11:13:55 AM  1000     12341      0.00     18.00  two_node_pipeli
11:13:56 AM  1000     12341      0.00      9.00  two_node_pipeli
11:13:57 AM  1000     12341      0.00      9.00  two_node_pipeli
11:13:58 AM  1000     12341      0.00      9.00  two_node_pipeli
11:13:59 AM  1000     12341      0.00      9.00  two_node_pipeli
11:14:00 AM  1000     12341      0.00     24.00  two_node_pipeli
11:14:01 AM  1000     12341      0.00     12.00  two_node_pipeli
11:14:02 AM  1000     12341      0.00     24.00  two_node_pipeli
11:14:03 AM  1000     12341      0.00      8.00  two_node_pipeli
11:14:04 AM  1000     12341      0.00     10.00  two_node_pipeli
11:14:05 AM  1000     12341      0.00     11.00  two_node_pipeli
11:14:06 AM  1000     12341      0.00     10.00  two_node_pipeli
11:14:07 AM  1000     12341      0.00      8.00  two_node_pipeli
11:14:08 AM  1000     12341      0.00      9.00  two_node_pipeli
11:14:09 AM  1000     12341      0.00     11.00  two_node_pipeli
11:14:10 AM  1000     12341      0.00     22.00  two_node_pipeli
11:14:11 AM  1000     12341      0.00      6.00  two_node_pipeli
11:14:12 AM  1000     12341      0.00     11.00  two_node_pipeli
11:14:13 AM  1000     12341      0.00      8.00  two_node_pipeli
11:14:14 AM  1000     12341      0.00     12.00  two_node_pipeli
11:14:15 AM  1000     12341      1.00    195.00  two_node_pipeli
11:14:16 AM  1000     12341      0.00    211.00  two_node_pipeli
11:14:17 AM  1000     12341      0.00    208.00  two_node_pipeli
11:14:18 AM  1000     12341      0.00    160.00  two_node_pipeli
11:14:19 AM  1000     12341      0.00     10.00  two_node_pipeli
11:14:20 AM  1000     12341      0.00     10.00  two_node_pipeli
11:14:21 AM  1000     12341      0.00      7.00  two_node_pipeli
11:14:22 AM  1000     12341      0.00      9.00  two_node_pipeli
11:14:23 AM  1000     12341      0.00      9.00  two_node_pipeli
11:14:24 AM  1000     12341      0.00     12.00  two_node_pipeli
