Linux 5.10.216-tegra (neu-desktop) 	11/05/2024 	_aarch64_	(12 CPU)
06:47:42 PM  1000     30591     17.00      0.00  two_node_pipeli
06:47:42 PM  1000     30604     16.00      0.00  two_node_pipeli

06:47:42 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:43 PM  1000     30603     17.00      0.00  two_node_pipeli
06:47:43 PM  1000     30602     16.00      0.00  two_node_pipeli
06:47:43 PM  1000     30591     17.00      0.00  two_node_pipeli
06:47:43 PM  1000     30604     16.00      0.00  two_node_pipeli

06:47:43 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:44 PM  1000     30603     17.00      0.00  two_node_pipeli
06:47:44 PM  1000     30602     16.00      0.00  two_node_pipeli
06:47:44 PM  1000     30591     16.00      0.00  two_node_pipeli
06:47:44 PM  1000     30604     16.00      0.00  two_node_pipeli

06:47:44 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:45 PM  1000     30603     16.00      0.00  two_node_pipeli
06:47:45 PM  1000     30602     17.00      0.00  two_node_pipeli
06:47:45 PM  1000     30591     18.00      0.00  two_node_pipeli
06:47:45 PM  1000     30604     16.00      0.00  two_node_pipeli

06:47:45 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:46 PM  1000     30603     16.00      0.00  two_node_pipeli
06:47:46 PM  1000     30602     16.00      0.00  two_node_pipeli
06:47:46 PM  1000     30591     17.00      0.00  two_node_pipeli
06:47:46 PM  1000     30604     17.00      0.00  two_node_pipeli

06:47:46 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:47 PM  1000     30603     15.00      0.00  two_node_pipeli
06:47:47 PM  1000     30602     14.00      0.00  two_node_pipeli
06:47:47 PM  1000     30591     14.00      0.00  two_node_pipeli
06:47:47 PM  1000     30604     16.00      0.00  two_node_pipeli

06:47:47 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:48 PM  1000     30603     14.00      0.00  two_node_pipeli
06:47:48 PM  1000     30602     15.00      0.00  two_node_pipeli
06:47:48 PM  1000     30591     15.00      0.00  two_node_pipeli
06:47:48 PM  1000     30604     13.00      0.00  two_node_pipeli

06:47:48 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:49 PM  1000     30603     13.00      0.00  two_node_pipeli
06:47:49 PM  1000     30602     13.00      0.00  two_node_pipeli
06:47:49 PM  1000     30591     14.00      0.00  two_node_pipeli
06:47:49 PM  1000     30604     15.00      0.00  two_node_pipeli

06:47:49 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:50 PM  1000     30603     14.00      0.00  two_node_pipeli
06:47:50 PM  1000     30602     16.00      0.00  two_node_pipeli
06:47:50 PM  1000     30591     15.00      0.00  two_node_pipeli
06:47:50 PM  1000     30604     16.00      0.00  two_node_pipeli

06:47:50 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:51 PM  1000     30603     15.00      0.00  two_node_pipeli
06:47:51 PM  1000     30602     15.00      0.00  two_node_pipeli
06:47:51 PM  1000     30591     13.00      0.00  two_node_pipeli
06:47:51 PM  1000     30604     14.00      0.00  two_node_pipeli

06:47:51 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:52 PM  1000     30603     15.00      0.00  two_node_pipeli
06:47:52 PM  1000     30602     15.00      0.00  two_node_pipeli
06:47:52 PM  1000     30591     16.00      0.00  two_node_pipeli
06:47:52 PM  1000     30604     15.00      0.00  two_node_pipeli

06:47:52 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:53 PM  1000     30603     16.00      0.00  two_node_pipeli
06:47:53 PM  1000     30602     16.00      0.00  two_node_pipeli
06:47:53 PM  1000     30591     15.00      0.00  two_node_pipeli
06:47:53 PM  1000     30604     15.00      0.00  two_node_pipeli

06:47:53 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:54 PM  1000     30603     14.00      0.00  two_node_pipeli
