Linux 5.10.216-tegra (neu-desktop) 	11/05/2024 	_aarch64_	(12 CPU)

06:43:08 PM   UID       PID   cswch/s nvcswch/s  Command
06:43:09 PM  1000     28523     15.00      0.00  two_node_pipeli
06:43:09 PM  1000     28522     15.00      0.00  two_node_pipeli
06:43:09 PM  1000     28524     16.00      0.00  two_node_pipeli
06:43:09 PM  1000     28512     15.00      0.00  two_node_pipeli

06:43:09 PM   UID       PID   cswch/s nvcswch/s  Command
06:43:10 PM  1000     28523     17.00      0.00  two_node_pipeli
06:43:10 PM  1000     28522     16.00      0.00  two_node_pipeli
06:43:10 PM  1000     28524     15.00      0.00  two_node_pipeli
06:43:10 PM  1000     28512     17.00      0.00  two_node_pipeli

06:43:10 PM   UID       PID   cswch/s nvcswch/s  Command
06:43:11 PM  1000     28523     14.00      0.00  two_node_pipeli
06:43:11 PM  1000     28522     15.00      0.00  two_node_pipeli
06:43:11 PM  1000     28524     15.00      0.00  two_node_pipeli
06:43:11 PM  1000     28512     15.00      0.00  two_node_pipeli

06:43:11 PM   UID       PID   cswch/s nvcswch/s  Command
06:43:12 PM  1000     28523     16.00      0.00  two_node_pipeli
06:43:12 PM  1000     28522     15.00      0.00  two_node_pipeli
06:43:12 PM  1000     28524     17.00      0.00  two_node_pipeli
06:43:12 PM  1000     28512     17.00      0.00  two_node_pipeli

06:43:12 PM   UID       PID   cswch/s nvcswch/s  Command
06:43:13 PM  1000     28523     19.00      0.00  two_node_pipeli
06:43:13 PM  1000     28522     17.00      0.00  two_node_pipeli
06:43:13 PM  1000     28524     19.00      0.00  two_node_pipeli
06:43:13 PM  1000     28512     17.00      0.00  two_node_pipeli

06:43:13 PM   UID       PID   cswch/s nvcswch/s  Command
06:43:14 PM  1000     28523     15.00      0.00  two_node_pipeli
06:43:14 PM  1000     28522     15.00      0.00  two_node_pipeli
06:43:14 PM  1000     28524     15.00      0.00  two_node_pipeli
06:43:14 PM  1000     28512     15.00      0.00  two_node_pipeli

06:43:14 PM   UID       PID   cswch/s nvcswch/s  Command
06:43:15 PM  1000     28523     16.00      0.00  two_node_pipeli
06:43:15 PM  1000     28522     15.00      0.00  two_node_pipeli
06:43:15 PM  1000     28524     16.00      0.00  two_node_pipeli
06:43:15 PM  1000     28512     16.00      0.00  two_node_pipeli

06:43:15 PM   UID       PID   cswch/s nvcswch/s  Command
06:43:16 PM  1000     28523     14.00      0.00  two_node_pipeli
06:43:16 PM  1000     28522     17.00      0.00  two_node_pipeli
06:43:16 PM  1000     28524     16.00      0.00  two_node_pipeli
06:43:16 PM  1000     28512     16.00      0.00  two_node_pipeli

06:43:16 PM   UID       PID   cswch/s nvcswch/s  Command
06:43:17 PM  1000     28523     18.00      0.00  two_node_pipeli
06:43:17 PM  1000     28522     17.00      0.00  two_node_pipeli
06:43:17 PM  1000     28524     15.00      0.00  two_node_pipeli
06:43:17 PM  1000     28512     15.00      0.00  two_node_pipeli

06:43:17 PM   UID       PID   cswch/s nvcswch/s  Command
06:43:18 PM  1000     28523     15.00      0.00  two_node_pipeli
06:43:18 PM  1000     28522     15.00      0.00  two_node_pipeli
06:43:18 PM  1000     28524     17.00      0.00  two_node_pipeli
06:43:18 PM  1000     28512     17.00      0.00  two_node_pipeli

06:43:18 PM   UID       PID   cswch/s nvcswch/s  Command
06:43:19 PM  1000     28523     17.00      0.00  two_node_pipeli
06:43:19 PM  1000     28522     16.00      0.00  two_node_pipeli
