|CALIBRATION TEST|[Setting: 10ms]->@time-measure: 9888142. 
Chain 1 : 400ms | 40	40	40
Chain 2 : 450ms | 45	45	45

|TID:2881691584|-->[Chain1-Sensor1.exe:400(100us)]-->[Start@1726471387209721108-End@1726471387249936004-Cost:40214896(ns) and Published msg: 0]. 

|TID:2764187392|-->[Chain1-Transfer2.exe:400(100us)]-->[Start@1726471387250427863-End@1726471387290230801-Cost:39802938(ns) and Route msg: 0]. 

|TID:2881691584|-->[Chain1-Command3.exe:400(100us)]-->[Start@1726471387290436344-End@1726471387330662825-Cost:40226481(ns) and Received msg: 0]. 

|TID:2764187392|-->[Chain2-Sensor1.exe:450(100us)]-->[Start@1726471387307873554-End@1726471387365582662-Cost:57709108(ns) and Published msg: 0]. 

|TID:2881691584|-->[Chain2-Transfer2.exe:450(100us)]-->[Start@1726471387365811794-End@1726471387410841511-Cost:45029717(ns) and Route msg: 0]. 

|TID:2764187392|-->[Chain2-Command3.exe:450(100us)]-->[Start@1726471387411029723-End@1726471387456361475-Cost:45331752(ns) and Received msg: 0]. 

|TID:2881691584|-->[Chain1-Sensor1.exe:400(100us)]-->[Start@1726471387609659959-End@1726471387649186476-Cost:39526517(ns) and Published msg: 1]. 

|TID:2764187392|-->[Chain1-Transfer2.exe:400(100us)]-->[Start@1726471387649440746-End@1726471387689876390-Cost:40435644(ns) and Route msg: 1]. 

|TID:2881691584|-->[Chain1-Command3.exe:400(100us)]-->[Start@1726471387690098679-End@1726471387729724817-Cost:39626138(ns) and Received msg: 1]. 

|TID:2764187392|-->[Chain2-Sensor1.exe:450(100us)]-->[Start@1726471387757865072-End@1726471387840157813-Cost:82292741(ns) and Published msg: 1]. 

|TID:2881691584|-->[Chain2-Transfer2.exe:450(100us)]-->[Start@1726471387840501637-End@1726471387885544104-Cost:45042467(ns) and Route msg: 1]. 

|TID:2764187392|-->[Chain2-Command3.exe:450(100us)]-->[Start@1726471387885753261-End@1726471387930649303-Cost:44896042(ns) and Received msg: 1]. 

|TID:2881691584|-->[Chain1-Sensor1.exe:400(100us)]-->[Start@1726471388009629023-End@1726471388049549880-Cost:39920857(ns) and Published msg: 2]. 

|TID:2764187392|-->[Chain1-Transfer2.exe:400(100us)]-->[Start@1726471388049785571-End@1726471388091547475-Cost:41761904(ns) and Route msg: 2]. 

|TID:2881691584|-->[Chain1-Command3.exe:400(100us)]-->[Start@1726471388091815519-End@1726471388131324155-Cost:39508636(ns) and Received msg: 2]. 

|TID:2764187392|-->[Chain2-Sensor1.exe:450(100us)]-->[Start@1726471388207957595-End@1726471388253217190-Cost:45259595(ns) and Published msg: 2]. 

|TID:2881691584|-->[Chain2-Transfer2.exe:450(100us)]-->[Start@1726471388253450563-End@1726471388297962417-Cost:44511854(ns) and Route msg: 2]. 

|TID:2764187392|-->[Chain2-Command3.exe:450(100us)]-->[Start@1726471388298196775-End@1726471388343613592-Cost:45416817(ns) and Received msg: 2]. 

|TID:2764187392|-->[Chain1-Sensor1.exe:400(100us)]-->[Start@1726471388409689078-End@1726471388449472740-Cost:39783662(ns) and Published msg: 3]. 

|TID:2881691584|-->[Chain1-Transfer2.exe:400(100us)]-->[Start@1726471388449681318-End@1726471388489522200-Cost:39840882(ns) and Route msg: 3]. 

|TID:2764187392|-->[Chain1-Command3.exe:400(100us)]-->[Start@1726471388489727869-End@1726471388529397866-Cost:39669997(ns) and Received msg: 3]. 

