|CALIBRATION TEST|[Setting: 10ms]->@time-measure: 9623883. 
Timer_missed : 1
Timer_missed : 2

|TID:1201665792|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395454120929607-End@1726395454148674065-Cost:27744458(ns) and Route msg: 7]. 

|TID:1534906304|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395454106507354-End@1726395454149957078-Cost:43449724(ns) and Published msg: 6]. 

|TID:1201665792|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395454149221853-End@1726395454168966013-Cost:19744160(ns) and Received msg: 7]. 

|TID:1534906304|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395454155147024-End@1726395454177641736-Cost:22494712(ns) and Received msg: 5]. 

|TID:1201665792|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395454169439479-End@1726395454200119742-Cost:30680263(ns) and Route msg: 6]. 

|TID:1201665792|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395454200691642-End@1726395454217040602-Cost:16348960(ns) and Received msg: 6]. 

|TID:1534906304|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395454177917849-End@1726395454218553308-Cost:40635459(ns) and Published msg: 8]. 

|TID:1201665792|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395454220895720-End@1726395454255401491-Cost:34505771(ns) and Route msg: 8]. 

|TID:1201665792|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395454255742533-End@1726395454273620881-Cost:17878348(ns) and Received msg: 8]. 

|TID:1534906304|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395454243842429-End@1726395454277799149-Cost:33956720(ns) and Published msg: 7]. 

|TID:1201665792|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395454278018644-End@1726395454297276972-Cost:19258328(ns) and Route msg: 7]. 

|TID:1534906304|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395454297527673-End@1726395454316237883-Cost:18710210(ns) and Received msg: 7]. 

|TID:1201665792|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395454327455444-End@1726395454429465440-Cost:102009996(ns) and Published msg: 9]. 

|TID:1534906304|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395454392919091-End@1726395454529604714-Cost:136685623(ns) and Published msg: 8]. 

|TID:1534906304|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395454596506487-End@1726395454678805831-Cost:82299344(ns) and Route msg: 9]. 

|TID:1201665792|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395454503086529-End@1726395454689706627-Cost:186620098(ns) and Published msg: 10]. 

|TID:1201665792|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395454699824882-End@1726395454719914337-Cost:20089455(ns) and Received msg: 9]. 

|TID:1201665792|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395454723836920-End@1726395454771343612-Cost:47506692(ns) and Route msg: 8]. 

|TID:1534906304|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395454679273170-End@1726395454790638971-Cost:111365801(ns) and Published msg: 9]. 

|TID:1534906304|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395454790875469-End@1726395454812695989-Cost:21820520(ns) and Route msg: 10]. 

|TID:1201665792|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395454774689795-End@1726395454828522672-Cost:53832877(ns) and Published msg: 11]. 

|TID:1534906304|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395454812857379-End@1726395454830526955-Cost:17669576(ns) and Received msg: 8]. 
Timer_missed : 4

|TID:1534906304|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395454843379276-End@1726395454887824934-Cost:44445658(ns) and Published msg: 10]. 

|TID:1201665792|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395454860414244-End@1726395454894450921-Cost:34036677(ns) and Route msg: 11]. 

|TID:1534906304|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395454894098577-End@1726395454926558281-Cost:32459704(ns) and Received msg: 10]. 
Timer_missed : 5

|TID:1201665792|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395454894579139-End@1726395454941530189-Cost:46951050(ns) and Route msg: 9]. 

|TID:1201665792|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395454941657994-End@1726395454960722504-Cost:19064510(ns) and Received msg: 11]. 

|TID:1534906304|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395454926884138-End@1726395454996519701-Cost:69635563(ns) and Published msg: 12]. 

|TID:1534906304|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395455001786266-End@1726395455008605332-Cost:6819066(ns) and Received msg: 9]. 

|TID:1201665792|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395454961017980-End@1726395455008841836-Cost:47823856(ns) and Route msg: 10]. 

|TID:1201665792|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395455008921714-End@1726395455050743353-Cost:41821639(ns) and Route msg: 12]. 

|TID:1534906304|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395455008835328-End@1726395455070629892-Cost:61794564(ns) and Published msg: 11]. 

|TID:1201665792|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395455051043909-End@1726395455081548500-Cost:30504591(ns) and Received msg: 12]. 

|TID:1534906304|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395455076751142-End@1726395455112399217-Cost:35648075(ns) and Received msg: 10]. 

|TID:1534906304|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395455112498955-End@1726395455140913294-Cost:28414339(ns) and Route msg: 11]. 

|TID:1201665792|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395455081805187-End@1726395455142348301-Cost:60543114(ns) and Published msg: 13]. 

|TID:1534906304|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395455141202587-End@1726395455183550516-Cost:42347929(ns) and Received msg: 11]. 

|TID:1534906304|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395455183644141-End@1726395455202290104-Cost:18645963(ns) and Route msg: 13]. 

