|CALIBRATION TEST|[Setting: 10ms]->@time-measure: 9844929. 

|TID:3533201344|-->[Chain1-Sensor1.exe:500(100us)]-->[Start@1726463709766201155-End@1726463709826081683-Cost:59880528(ns) and Published msg: 0]. 

|TID:3207096064|-->[Chain1-Transfer2.exe:500(100us)]-->[Start@1726463709826402704-End@1726463709888339019-Cost:61936315(ns) and Route msg: 0]. 

|TID:3533201344|-->[Chain1-Command3.exe:500(100us)]-->[Start@1726463709888627541-End@1726463709952561801-Cost:63934260(ns) and Received msg: 0]. 

|TID:3207096064|-->[Chain2-Sensor1.exe:500(100us)]-->[Start@1726463709919514011-End@1726463709964705996-Cost:45191985(ns) and Published msg: 0]. 

|TID:3533201344|-->[Chain2-Transfer2.exe:500(100us)]-->[Start@1726463709964982091-End@1726463710048225246-Cost:83243155(ns) and Route msg: 0]. 

|TID:3207096064|-->[Chain1-Sensor1.exe:500(100us)]-->[Start@1726463710002536814-End@1726463710083146409-Cost:80609595(ns) and Published msg: 1]. 

|TID:3533201344|-->[Chain2-Command3.exe:500(100us)]-->[Start@1726463710048678842-End@1726463710136727382-Cost:88048540(ns) and Received msg: 0]. 

|TID:3207096064|-->[Chain1-Transfer2.exe:500(100us)]-->[Start@1726463710098363844-End@1726463710170306727-Cost:71942883(ns) and Route msg: 1]. 

|TID:3533201344|-->[Chain3-Sensor1.exe:500(100us)]-->[Start@1726463710139999987-End@1726463710215530633-Cost:75530646(ns) and Published msg: 0]. 

|TID:3207096064|-->[Chain1-Command3.exe:500(100us)]-->[Start@1726463710170707448-End@1726463710238889066-Cost:68181618(ns) and Received msg: 1]. 

|TID:3533201344|-->[Chain3-Transfer2.exe:500(100us)]-->[Start@1726463710218220677-End@1726463710267192791-Cost:48972114(ns) and Route msg: 0]. 

|TID:3207096064|-->[Chain3-Command3.exe:500(100us)]-->[Start@1726463710267487776-End@1726463710318146855-Cost:50659079(ns) and Received msg: 0]. 

|TID:3533201344|-->[Chain2-Sensor1.exe:500(100us)]-->[Start@1726463710391824062-End@1726463710448761117-Cost:56937055(ns) and Published msg: 1]. 

|TID:3207096064|-->[Chain2-Transfer2.exe:500(100us)]-->[Start@1726463710451450545-End@1726463710488373947-Cost:36923402(ns) and Route msg: 1]. 

|TID:3533201344|-->[Chain1-Sensor1.exe:500(100us)]-->[Start@1726463710488636750-End@1726463710537352549-Cost:48715799(ns) and Published msg: 2]. 

|TID:3207096064|-->[Chain2-Command3.exe:500(100us)]-->[Start@1726463710488729690-End@1726463710590759851-Cost:102030161(ns) and Received msg: 1]. 

|TID:3533201344|-->[Chain1-Transfer2.exe:500(100us)]-->[Start@1726463710538122580-End@1726463710597288820-Cost:59166240(ns) and Route msg: 2]. 

|TID:3207096064|-->[Chain1-Command3.exe:500(100us)]-->[Start@1726463710597497577-End@1726463710634083186-Cost:36585609(ns) and Received msg: 2]. 

|TID:3533201344|-->[Chain3-Sensor1.exe:500(100us)]-->[Start@1726463710622112253-End@1726463710658996158-Cost:36883905(ns) and Published msg: 1]. 

|TID:3207096064|-->[Chain3-Transfer2.exe:500(100us)]-->[Start@1726463710659350455-End@1726463710709559349-Cost:50208894(ns) and Route msg: 1]. 

|TID:3533201344|-->[Chain3-Command3.exe:500(100us)]-->[Start@1726463710709959251-End@1726463710767115239-Cost:57155988(ns) and Received msg: 1]. 

|TID:3207096064|-->[Chain2-Sensor1.exe:500(100us)]-->[Start@1726463710891782134-End@1726463710941233700-Cost:49451566(ns) and Published msg: 2]. 

|TID:3533201344|-->[Chain2-Transfer2.exe:500(100us)]-->[Start@1726463710947825260-End@1726463711020764823-Cost:72939563(ns) and Route msg: 2]. 

|TID:3207096064|-->[Chain1-Sensor1.exe:500(100us)]-->[Start@1726463710983844569-End@1726463711047213568-Cost:63368999(ns) and Published msg: 3]. 

|TID:3533201344|-->[Chain2-Command3.exe:500(100us)]-->[Start@1726463711021218740-End@1726463711116923475-Cost:95704735(ns) and Received msg: 2]. 

|TID:3207096064|-->[Chain1-Transfer2.exe:500(100us)]-->[Start@1726463711048722236-End@1726463711139856620-Cost:91134384(ns) and Route msg: 3]. 

|TID:3533201344|-->[Chain3-Sensor1.exe:500(100us)]-->[Start@1726463711125071431-End@1726463711281730875-Cost:156659444(ns) and Published msg: 2]. 

|TID:3207096064|-->[Chain1-Command3.exe:500(100us)]-->[Start@1726463711140277492-End@1726463711338243329-Cost:197965837(ns) and Received msg: 3]. 

|TID:3533201344|-->[Chain3-Transfer2.exe:500(100us)]-->[Start@1726463711289672233-End@1726463711523758398-Cost:234086165(ns) and Route msg: 2]. 

|TID:3207096064|-->[Chain2-Sensor1.exe:500(100us)]-->[Start@1726463711409016100-End@1726463711543546730-Cost:134530630(ns) and Published msg: 3]. 

|TID:3533201344|-->[Chain1-Sensor1.exe:500(100us)]-->[Start@1726463711524328036-End@1726463711664883391-Cost:140555355(ns) and Published msg: 4]. 

|TID:3207096064|-->[Chain3-Command3.exe:500(100us)]-->[Start@1726463711561689329-End@1726463711688278918-Cost:126589589(ns) and Received msg: 2]. 

|TID:3533201344|-->[Chain3-Sensor1.exe:500(100us)]-->[Start@1726463711674965830-End@1726463711760237621-Cost:85271791(ns) and Published msg: 3]. 

|TID:3207096064|-->[Chain1-Transfer2.exe:500(100us)]-->[Start@1726463711688515564-End@1726463711781274046-Cost:92758482(ns) and Route msg: 4]. 

|TID:3533201344|-->[Chain2-Transfer2.exe:500(100us)]-->[Start@1726463711762387129-End@1726463711869459459-Cost:107072330(ns) and Route msg: 3]. 

|TID:3207096064|-->[Chain1-Command3.exe:500(100us)]-->[Start@1726463711781876435-End@1726463711880321585-Cost:98445150(ns) and Received msg: 4]. 

|TID:3533201344|-->[Chain3-Transfer2.exe:500(100us)]-->[Start@1726463711869717641-End@1726463711954771757-Cost:85054116(ns) and Route msg: 3]. 

|TID:3207096064|-->[Chain2-Command3.exe:500(100us)]-->[Start@1726463711883116779-End@1726463711969473354-Cost:86356575(ns) and Received msg: 3]. 

|TID:3533201344|-->[Chain2-Sensor1.exe:500(100us)]-->[Start@1726463711955265789-End@1726463712023199378-Cost:67933589(ns) and Published msg: 4]. 

|TID:3207096064|-->[Chain3-Command3.exe:500(100us)]-->[Start@1726463711969656462-End@1726463712029824046-Cost:60167584(ns) and Received msg: 3]. 

|TID:3207096064|-->[Chain1-Sensor1.exe:500(100us)]-->[Start@1726463712030169391-End@1726463712079167187-Cost:48997796(ns) and Published msg: 5]. 

|TID:3533201344|-->[Chain2-Transfer2.exe:500(100us)]-->[Start@1726463712030988918-End@1726463712104567881-Cost:73578963(ns) and Route msg: 4]. 

|TID:3533201344|-->[Chain2-Command3.exe:500(100us)]-->[Start@1726463712104933104-End@1726463712143341580-Cost:38408476(ns) and Received msg: 4]. 

|TID:3207096064|-->[Chain1-Transfer2.exe:500(100us)]-->[Start@1726463712079596368-End@1726463712147558499-Cost:67962131(ns) and Route msg: 5]. 

|TID:3533201344|-->[Chain3-Sensor1.exe:500(100us)]-->[Start@1726463712143641161-End@1726463712196334496-Cost:52693335(ns) and Published msg: 4]. 

|TID:3207096064|-->[Chain1-Command3.exe:500(100us)]-->[Start@1726463712148048484-End@1726463712199795707-Cost:51747223(ns) and Received msg: 5]. 

